1058306530039; FOSLAMER; FOSLAMER; NOT FOUND; 800 MG COM REV FR PLAS OPC X 180; GM2
1058300950014; FLATOL; FLATOL; NOT FOUND; 75 MG/ML EMU OR FR PLAS OPC GOT X 10 ML; GM2
1058300950014; FLATOL; FLATOL; NOT FOUND; GTS FR X 10 ML HOSP; GM2
1058300950095; FLATOL; FLATOL; NOT FOUND; 75 MG / ML EMU OR FR PLAS OPC GOT X 15 ML; GM2
1058300950030; FLATOL; FLATOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; GM2
1058300950087; FLATOL; FLATOL; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 80; GM2
1058300950079; FLATOL; FLATOL; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; GM2
1058306370031; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058302960012; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5MG 1 BL X 15 COMP REV; GM2
1058302960020; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT 2 BL AL PLAS BCO LEIT X 15; GM2
1058302970026; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS OPC X 30 ; GM2
1058301450029; FINASTIL; FINASTIL; NOT FOUND; 5 MG 2 BL X 15 COMP; GM2
1058302950017; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150MG CAP GEL DURA CT BL AL PLAS INC X 1 ; GM2
1058302950025; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; GM2
1058304100101; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CT 100 AMP VD INC X 4 ML (EMB HOSP); GM2
1058304030012; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; GM2
1058304620049; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 10 MG/G GEL CT BG AL X 45 G ; GM2
1058301760011; FOSFOCAPS; FOSFOCAPS; NOT FOUND; CAP GEL DURA CT FR VD AMB X 20 ; GM2
1058303260014; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 1MG/ML SOL ORAL CT FR VD AMB X 30ML + CGT; GM2
1058303380011; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP DOS; GM2
1058304840022; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G ; GM2
1058304850028; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G POM DERM CT BG AL X 20 ; GM2
1058307250021; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; GM2
1058307250099; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307250145; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307250048; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; GM2
