1058302690090; LEXFAST (B1); LEXFAST B1; NOT FOUND; GTS 0.6% FR X 20ML; GM2
1058302690066; LEXFAST; LEXFAST; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 20; GM2
1058302690023; LEXFAST; LEXFAST; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; GM2
1058307370019; LIARA; LIARA; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; GM2
1058307800013; LIDY; LIDY; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; GM2
1058307800021; LIDY; LIDY; NOT FOUND; 3 MG + 0.02 MG COM REV CT 3 BL AL PLAS OPC X 24; GM2
1019101320016; LEVORDIOL; LEVORDIOL; NOT FOUND; 1 BL X 28 COMP; GM2
1058303990179; LOSARTANA POTASSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL AL X 30; GM2
1058303990292; LOSARTANA POTASSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058306160029; LACNAX; LACNAX; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA) ; GM2
1058303480030; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 7; GM2
1058303480014; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 14 ; GM2
1058303480022; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 14 ; GM2
1058303480049; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 28; GM2
1058306400011; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; GM2
1058306730011; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 0.05 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; GM2
1058304310155; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 10; GM2
1058304310147; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 7; GM2
1058304310139; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 3 ; GM2
1058306020022; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR); GM2
1058305870030; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 40 MG/G CREM DERM CT BG AL X 30 G; GM2
1058302810045; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 2 BL AL PLAS INC X 15 ; GM2
1058302810071; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 2 BL AL PLAS INC X 15 ; GM2
1058302810101; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT 2 BL AL PLAS INC X 15 ; GM2
1058302810010; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 2 BL AL PLAS INC X 15; GM2
1058304740028; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; GM2
1058303140019; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; GM2
1058303040065; LORAZEFAST (B1); LORAZEFAST B1; NOT FOUND; 1 MG COM CT BL PVDC LEIT X 20; GM2
1058303040154; LORAZEFAST (B1); LORAZEFAST B1; NOT FOUND; 2MG X 20 COMP; GM2
1058303600028; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; GM2
1058303600011; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; GM2
1058305130444; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 30; GM2
1058305130177; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; GM2
1058307000092; LANZAMED; LANZAMED; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; GM2
1058307000157; LANZAMED; LANZAMED; NOT FOUND; 10 MG COM REV CT BL AL/AL X 28; GM2
1058307000033; LANZAMED; LANZAMED; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 28; GM2
1058306990021; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058306990048; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 60; GM2
1058306990031; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 42; GM2
1058306990056; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84; GM2
