1004309680016; DAIVA; DAIVA; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; EUF
1004309770082; DIUBLOK; DIUBLOK; NOT FOUND; 100MG +25MG COM CT BL AL PLAS INC X 30; EUF
1004309770041; DIUBLOK; DIUBLOK; NOT FOUND; 50 MG + 12.5MG COM CT BL AL PLAS INC X 30; EUF
1004309770058; DIUBLOK; DIUBLOK; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 10; EUF
1004309770015; DIUBLOK; DIUBLOK; NOT FOUND; 50 MG + 12.5MG COM CT BL AL PLAS INC X 10; EUF
1004307000093; DIGESTBEM; DIGESTBEM; NOT FOUND; LIMAO - DISPLAY C/ 50 ENV. DE 5 GR; EUF
1004307000034; DIGESTBEM; DIGESTBEM; NOT FOUND; NEUTRO - DISPLAY C/ 50 ENV. DE 5 GR; EUF
1004310350067; DEJAVU; DEJAVU; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; EUF
1004310350121; DEJAVU; DEJAVU; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; EUF
1004310350075; DEJAVU; DEJAVU; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; EUF
1004310350083; DEJAVU; DEJAVU; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; EUF
1004310350131; DEJAVU; DEJAVU; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 4; EUF
1013800090026; DIUPRESS; DIUPRESS; NOT FOUND; CT C/ BL X 20 COMP; EUF
1004309810017; DIUPRESS; DIUPRESS; NOT FOUND; 25 MG + 5 MG COM CT BL AL PLAS LARANJA X 20; EUF
1013800100010; DIURISA; DIURISA; NOT FOUND; CT C/ BL X 20 COMP; EUF
1004301920011; DIURISA; DIURISA; NOT FOUND; 40 MG + 10 MG COM CT BL AL PLAS INC X 20; EUF
1004309750030; DESAGREG; DESAGREG; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309750022; DESAGREG; DESAGREG; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; EUF
1004306360010; DACARB; DACARB; NOT FOUND; 100 MG PO LIOF INJ CT FA VD AMB (REST HOSP); EUF
1004306360029; DACARB; DACARB; NOT FOUND; 200 MG PO LIOF INJ CT FA VD AMB (REST HOSP); EUF
1004306360037; DACARB; DACARB; NOT FOUND; 200 MG PO LIOF SOL INJ CT 10 FA VD AMB (REST HOSP); EUF
1004309880015; DESOGESTREL + ETINILESTRADIOL; DESOGESTREL ETINILESTRADIOL; NOT FOUND; 0.150 MG + 0.030 MG COM CT BL AL PLAS BCO OPC X 21; EUF
1004309870011; DESOGESTREL + ETINILESTRADIOL; DESOGESTREL ETINILESTRADIOL; NOT FOUND; 0.150 MG + 0.020 MG COM CT BL AL PLAS BCO OPC X 21; EUF
1004309620021; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ ML ELX CT FR VD AMB X 120 ML + CP MED; EUF
1004300010018; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CX 5 AMP VD INC X 3 ML; EUF
1004310890045; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 8 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310890096; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 16 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310890101; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 16 MG COM CT BL AL PLAS TRANS X 60; EUF
1004310890142; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310890150; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL PLAS TRANS X 60; EUF
1004309360011; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; EUF
1004309100044; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EUF
1004309100036; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; EUF
1004309100011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; EUF
1004309100028; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EUF
1004305500013; DEXALGEN; DEXALGEN; NOT FOUND; 5 MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML +1.5 MG/ML +500MG/ML SOL INJ 3 AMP VD AMB X 1 ML; EUF
1004305500021; DEXALGEN; DEXALGEN; NOT FOUND; 5 MG/ML SOL INJ CX AMP VD AMB X 1 ML + 1.5 MG/ML + 500 MG/ML SOL INJ AMP VD AMB X 1 ML; EUF
1004308230017; DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA; DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML; EUF
1004308230025; DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA; DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER; EUF
1004300380011; DOCETAXEL; DOCETAXEL; DOCETAXEL; 20 MG SOL INJ CT FA VD INC X 0.5 ML + AMP DIL VD INC X 1.5 ML ; EUF
1004300380028; DOCETAXEL; DOCETAXEL; DOCETAXEL; 80 MG SOL INJ CT FA VD INC X 2.0 ML + AMP DIL VD INC X 6.0 ML; EUF
1004310330082; DOMPERIX; DOMPERIX; NOT FOUND; 1 MG/ML SUS OR CT FR VD AMB X 100 ML + 1 SER DOS; EUF
1004310320028; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS INC X 30; EUF
1004310330031; DOMPERIX; DOMPERIX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; EUF
1004309630035; DIACQUA; DIACQUA; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; EUF
1004309630061; DIACQUA; DIACQUA; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; EUF
1004309630094; DIACQUA; DIACQUA; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 16; EUF
1004309630019; DIACQUA; DIACQUA; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 10 ; EUF
1004309630043; DIACQUA; DIACQUA; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10 ; EUF
1004310760036; DUOMO HP; DUOMO HP; NOT FOUND; 2 MG COMP + 5 MG COMP REV CAP GEL DURA CT BL AL/PLAS INC X 30; EUF
1004310760028; DUOMO HP; DUOMO HP; NOT FOUND; 2 MG COMP + 5 MG COMP REV CAP GEL DURA CT BL AL/PLAS INC X 20; EUF
1004309990031; DICLORIDRATO DE LEVOCETIRIZINA; DICLORIDRATO LEVOCETIRIZINA; DICLORIDRATO LEVOCETIRIZINA; 5 MG COM REV CT BL AL/AL X 10; EUF
1004308080015; DOPO; DOPO; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; EUF
1004310050047; DUOMO; DUOMO; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; EUF
1004310050012; DUOMO; DUOMO; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 10 ; EUF
