1004310110015; TRIAXIN; TRIAXIN; NOT FOUND; 1 G PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 3.5 ML  ; EUF
1004310110090; TRIAXIN; TRIAXIN; NOT FOUND; 500 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 2 ML ; EUF
1004310110058; TRIAXIN; TRIAXIN; NOT FOUND; 250 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 2 ML ; EUF
1004310110112; TRIAXIN; TRIAXIN; NOT FOUND; 500 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 2 ML ; EUF
1004310110031; TRIAXIN; TRIAXIN; NOT FOUND; 1 G PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 3.5 ML ; EUF
1004310110074; TRIAXIN; TRIAXIN; NOT FOUND; 250 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 2 ML ; EUF
1004305820018; TAMOXIN; TAMOXIN; NOT FOUND; 10MG COMP X 30; EUF
1004305820026; TAMOXIN; TAMOXIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309800046; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G POM DERM CT BG AL X 30 G ; EUF
1004309800089; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G ; EUF
1004309800011; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G POM DERM CT BG AL X 10 G; EUF
1004309800054; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G CREM DERM CT BG AL X 10 G; EUF
1004306330022; TINAX; TINAX; NOT FOUND; CT C/ 1 FR 1.000UI; EUF
1004306330030; TINAX; TINAX; NOT FOUND; CT C/ 1 FR 2.000UI; EUF
1004306330073; TINAX; TINAX; NOT FOUND; CT C/ 1 FR 3.000UI; EUF
1004306330081; TINAX; TINAX; NOT FOUND; CT C/ 1 FR 4.000UI; EUF
1004306520077; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS TRANS CALEND X 28; EUF
1004306520085; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS TRANS CALEND X 84; EUF
1004306520018; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.020 MG DRG CT BL AL PLAS INC CALEND X 21; EUF
1004306520026; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS INC CALEND X 21 ; EUF
1004306520034; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.020 MG DRG CT BL AL PLAS INC CALEND X 63 ; EUF
1004306520042; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS INC CALEND X 63; EUF
1004309730064; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1.0 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM CT BG AL X 30 G; EUF
1004309720034; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 U/G CREM DERM CT BG AL X 30 G; EUF
1004306710070; TAMIRAM; TAMIRAM; NOT FOUND; CX C/ 7 COMP 250MG; EUF
1004306710046; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
1004306710054; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
1004306710011; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; EUF
1004311110027; TAMIRAM; TAMIRAM; NOT FOUND; 750 MG COM REV CT BL AL PLAS INC X 5 ; EUF
1004310870011; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 20; EUF
1004310870028; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 30; EUF
1004310870036; TRIMEB; TRIMEB; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 60; EUF
