1004308880011; BEMINAL COM VITAMINA C; BEMINAL VITAMINA C; NOT FOUND; COM REV CT FR FD AMB X 30; EUF
1004308880021; BEMINAL COM VITAMINA C; BEMINAL VITAMINA C; NOT FOUND; COM REV CT FR PLAS OPC X 30; EUF
1004307140014; BEMINAL PLUS; BEMINAL PLUS; NOT FOUND; COM REV CT 01 FR PLAS OPC X 30; EUF
1004306860048; BENZETACIL; BENZETACIL; NOT FOUND; FR AMP 600.000 INJ.-1 G; EUF
1004306860064; BENZETACIL; BENZETACIL; NOT FOUND; FR AMP 1.200.000 INJ.-1 G.; EUF
1004306860102; BENZETACIL; BENZETACIL; NOT FOUND; 150.000 U/ML SUS INJ CX 10 FA VD INC X 4 ML (EMB FRAC); EUF
1004306860110; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 U/ML SUS INJ CX 10 FA VD INC X 4 ML (EMB FRAC); EUF
1004306860048; BENZETACIL; BENZETACIL; NOT FOUND; 150.000 UI/ML SUS INJ CX 50 FA VD INC X 4 ML; EUF
1004306860064; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 UI/ML SUS INJ CX 50 FA VD INC X 4 ML; EUF
1004306860153; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 U/ML SUS INJ CT 1 FA VD INC X 4 ML; EUF
1004307540081; BENZILPENICILINA BENZATINA 150000; BENZILPENICILINA BENZATINA 150000; NOT FOUND; 150.000 U/ML SUSP INJ IM CT 100 FA VD INC X 4 ML; EUF
1004307540047; BENZILPENICILINA BENZATINA 150000; BENZILPENICILINA BENZATINA 150000; NOT FOUND; 300.000 U/ML SUSP INJ IM CT 100 FA VD INC X 4 ML; EUF
1004307410011; BENZILPENICILINA POTÁSSICA 5.000.000UI; BENZILPENICILINA POTASSICA 5 000 000UI; NOT FOUND; 5.000.000 UI PO P/ SOL INJ CX 50 FA VD INC; EUF
1004309210011; BESILATO DE ATRACURIO; BESILATO ATRACURIO; BESILATO ATRACURIO; 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML ; EUF
1004309210028; BESILATO DE ATRACURIO; BESILATO ATRACURIO; BESILATO ATRACURIO; 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML ; EUF
1004307880018; BETAMETASONA; BETAMETASONA; BETAMETASONA; CT C/ FR 120ML ELIXIR 0.5MG/5ML (G); EUF
1004307870012; BETAMETASONA; BETAMETASONA; BETAMETASONA; CT C/ FR 15ML GOTAS 0.5MG/ML (G); EUF
1004308180011; BETAMETASONA; BETAMETASONA; BETAMETASONA; CT C/ 20 COMP 0.5MG; EUF
1004308180028; BETAMETASONA; BETAMETASONA; BETAMETASONA; CT C/ 10 COMP 2MG; EUF
1004310550015; BICALUTAMIDA; BICALUTAMIDA; BICALUTAMIDA; 50 MG COM REV CT BL AL PLAS INC X 30; EUF
1004310380055; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); EUF
1004310380020; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 30; EUF
1004308970010; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; EUF
1004308970029; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; EUF
1004308970037; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; EUF
1004308970045; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; EUF
1004310100044; BROMETO DE ROCURÔNIO; BROMETO ROCURONIO; BROMETO ROCURONIO; 10 MG/ML SOL INJ IV CT 12 FA VD INC X 5 ML; EUF
1004310230010; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4MG/ML SOL OR CT FR PLAS OPC GOT X 20ML ; EUF
1004309480025; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 30; EUF
1004309480033; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 60; EUF
1004309480017; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 12; EUF
1013800450010; BILIFLUX; BILIFLUX; NOT FOUND; FR C/ 100 ML; EUF
1004310210036; BEUM; BEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 20; EUF
1004310210044; BEUM; BEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; EUF
1004310880041; BETINA; BETINA; NOT FOUND; 8 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310880090; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310880104; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 60; EUF
1004310880163; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 60; EUF
1004310880155; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310880082; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 20; EUF
1004310880147; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 20; EUF
1004309170042; BETATRINTA; BETATRINTA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER SIST SEG; EUF
