1004306600011; OMNIC; OMNIC; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 20; EUF
1004306600021; OMNIC; OMNIC; NOT FOUND; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004310940034; OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA; OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA; NOT FOUND; 20MG + 12.5 MG COM REV CT BL AL/AL X 30; EUF
1004310940085; OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA; OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA; NOT FOUND; 40MG + 12.5 MG COM REV CT BL AL/AL X 30; EUF
1004310940131; OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA; OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA; NOT FOUND; 40MG + 25 MG COM REV CT BL AL/AL X 30; EUF
1004310570032; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM CT BL AL AL X 30; EUF
1004310570075; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM CT BL AL AL X 30; EUF
1004310570113; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL AL X 30; EUF
1004307300021; OMEPRAZOL SÓDICO; OMEPRAZOL SODICO; OMEPRAZOL SODICO; 40 MG PO LIOF P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP)  ; EUF
1004307300011; OMEPRAZOL SÓDICO; OMEPRAZOL SODICO; OMEPRAZOL SODICO; DISPLAY C/ 25 FA + DIL LIOF. 40 MG; EUF
1004307300011; OMEPRAZOL SÓDICO; OMEPRAZOL SODICO; OMEPRAZOL SODICO; FR AMP + AMP 10 ML LIOF. 40 MG.; EUF
1004307300046; OMEPRAZOL SÓDICO; OMEPRAZOL SODICO; OMEPRAZOL SODICO; 40 MG PO LIOF P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML (EMB HOSP) ; EUF
1004307130019; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; FR AMP + DIL; EUF
1004307130027; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; CX C/ 50 FR + DIL 5ML 500MG - PO SOL INJ; EUF
1004307130035; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS OPC X 5 ML (EMB HOSP); EUF
1004310830050; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS TRANS X 30; EUF
1004310830115; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS TRANS X 30; EUF
1004308220021; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG PO LIOF P/ SOL INJ CT FA VD INC X 1 G; EUF
1004308220011; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 50 MG PO LIOF P/ SOL INJ CT FA VD INC X 500 MG; EUF
1004308220046; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG PO LIOF P/ SOL INJ CT 10 FA VD INC; EUF
1004308220038; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 50 MG PO LIOF P/ SOL INJ CT 10 FA VD INC; EUF
