1004307850011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EUF
1004307850021; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EUF
1004310420022; ACTIVELLE; ACTIVELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT EST CALENDARIO X 28; EUF
1004307610010; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; EUF
1004307720037; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
1004307710015; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EUF
1004307710023; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED; EUF
1004307720029; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
1004310060026; AIRES; AIRES; NOT FOUND; 20 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
1004310060069; AIRES; AIRES; NOT FOUND; 120 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
1004310060042; AIRES; AIRES; NOT FOUND; 40 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
1004310060050; AIRES; AIRES; NOT FOUND; 120 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
1004310060018; AIRES; AIRES; NOT FOUND; 20 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
1004310060034; AIRES; AIRES; NOT FOUND; 40 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
1004307720045; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
1004307720061; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
1004307720088; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
1004307720010; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
1004307480011; ACICLOVIR; ACICLOVIR; ACICLOVIR; CT C/ 5 FR AMP; EUF
1004307480036; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF P/ SOL INJ IV CT 50 FA VD INC X 25 ML (EMB HOSP); EUF
1004309860014; ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETOFENIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML; EUF
1004300410016; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS OPC X 20; EUF
1004300410024; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 20; EUF
1004300410032; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS OPC X 20; EUF
1004300410067; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS OPC X 30; EUF
1004308860029; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.22 MG + 20 MG + 6.6 MG / ML XPE CT 1 FR VD AMB X 100 ML; EUF
1004308860010; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.132 MG + 12 MG +5.82 MG / ML XPE CT 1 FR VD AMB X 60 ML ; EUF
1004308860045; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.220 MG + 20.0 MG +6.6 MG / ML XPE CT 1 FR VD AMB X 120 ML ; EUF
1004307270023; AMOXICILINA; AMOXICILINA; AMOXICILINA; 250 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
1004307270015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 125 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
1004307270031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
1004307270058; AMOXICILINA; AMOXICILINA; AMOXICILINA; 400 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
1004307270041; AMOXICILINA; AMOXICILINA; AMOXICILINA; 200 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
1004307280010; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; EUF
1004307280037; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EUF
1004307280029; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004308020012; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT 2 STP AL X 7 ; EUF
1004307280045; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC); EUF
1004308020020; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT STR AL X 42 (EMB FRAC); EUF
1004308110038; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1G CT C/ 1 FA + DIL; EUF
1004308110011; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500MG CT C/ 1 FA + DIL; EUF
1004308110021; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500MG CT C/ 10 FA; EUF
1004308110046; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 200 MG PO P/ SOL INJ CT 10 FA VD INC (EMB HOSP); EUF
1004310670029; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 400 MG + 57 MG/5 ML PO SUS OR FR VD AMB X 70 ML; EUF
1004310040033; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 12; EUF
1004310040041; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; EUF
1004310040051; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; EUF
