1004310490111; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML; EUF
1004310490081; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310490063; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310490071; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; EUF
1004310490098; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
1004310490101; GLICOSE + CLORETO DE SÓDIO; GLICOSE CLORETO SODIO; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML; EUF
1004306630018; GRANULEN; GRANULEN; NOT FOUND; 30 MU/ML SOL INJ CX 5 FA VD INC X 1 ML; EUF
1004307620016; GANCICLOVIR SÓDICO; GANCICLOVIR SODICO; GANCICLOVIR SODICO; 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP VD INC X 10 ML; EUF
1004307620059; GANCICLOVIR SÓDICO; GANCICLOVIR SODICO; GANCICLOVIR SODICO; 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAS INC X 10 ML (EMB HOSP); EUF
1004307620067; GANCICLOVIR SÓDICO; GANCICLOVIR SODICO; GANCICLOVIR SODICO; 500 MG PO LIOF INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML ( EMB HOSP); EUF
1004306040016; GANCIVIR; GANCIVIR; NOT FOUND; CT C/ 1 FR; EUF
1004310460016; GLICERINA 12%; GLICERINA 12; NOT FOUND; 120 MG/ML SOL RET CT FR PLAS TRANS X 500 ML + SR; EUF
1004310460024; GLICERINA 12%; GLICERINA 12; NOT FOUND; 120 MG/ML SOL RET CX 20 FR PLAS TRANS X 500 ML + SR; EUF
1004306950098; GLUCOHEX; GLUCOHEX; NOT FOUND; CX C/ 1 FR PL 1000 ML (SAB LIQ. 4.0%); EUF
1004306950081; GLUCOHEX; GLUCOHEX; NOT FOUND; CX C/ 1 FR PL 1000 ML (SAB LIQ. 2.0%); EUF
1004310500182; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310500212; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310500190; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310500166; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML; EUF
1004310500141; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
1004310500158; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML; EUF
1004310500239; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML; EUF
1004310500255; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML(CONT 50 ML); EUF
1004310500131; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310500220; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 100 ML; EUF
1004310500247; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 100 ML(CONT 50 ML); EUF
1004310500123; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML; EUF
1004310500107; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
1004310500115; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML; EUF
1004310500204; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; EUF
1004310500174; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; GLICOSE MONOIDRATADA; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; EUF
1004300420021; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30 ; EUF
1004300420038; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; EUF
1004310720018; GINNA; GINNA; NOT FOUND; 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC; EUF
1004310720026; GINNA; GINNA; NOT FOUND; 0.02 G/G CREM VAG CT BG PLAS X 40 G + 7 APLIC; EUF
