1004307700011; CETOTERON; CETOTERON; NOT FOUND; 50 MG COM CT FR AMB X 20; EUF
1004307700079; CETOTERON; CETOTERON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; EUF
1004301350076; CP - AMICACINA; CP AMICACINA; NOT FOUND; CT C/ 1 AMP X 4ML; EUF
1004305810012; CP - GLUMENAN; CP GLUMENAN; NOT FOUND; DISPLAY C/ 25 AMP 5ML; EUF
1004300350021; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28 ; EUF
1004300350013; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14; EUF
1004306100019; CP - SUPRAFEN; CP SUPRAFEN; NOT FOUND; CT GOTAS C/ 1 FR X 15 ML; EUF
1004308920013; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30 ; EUF
1004308920056; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; EUF
1004308920031; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EUF
1004307450013; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; EUF
1004307450021; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 100 (EMB.HOSP); EUF
1004305180019; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 50; EUF
1004305180061; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 450 MG COM CT BL AL PLAS INC X 30; EUF
1004305180027; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 25; EUF
1004305180035; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 450 MG COM CT BL AL PLAS INC X 10; EUF
1004305180078; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 25 ; EUF
1004305180094; CARBOLITIUM; CARBOLITIUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 50 ; EUF
1004307750025; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; CT C/ 1 FR AMP 15ML 10MG/ML; EUF
1004307750033; CARBOPLATINA; CARBOPLATINA; CARBOPLATINA; CT C/ 1 FR AMP 45ML 10MG/ML; EUF
1004308140018; CEFADROXIL; CEFADROXIL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
