1004305980023; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 63; EUF
1004305980015; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 21; EUF
1004305980041; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 21; EUF
1004305980058; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 63; EUF
1004310000082; SINOT CLAV; SINOT CLAV; NOT FOUND; 400 MG + 57 MG/5ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS; EUF
1004310180021; SINOT; SINOT; NOT FOUND; 400 MG / 5 ML PO P SUS OR CT FR VD AMB X 100 ML + SER DOS; EUF
1004310180031; SINOT; SINOT; NOT FOUND; 400 MG / 5 ML PO P SUS OR CT FR VD AMB X 60 ML + SER DOS; EUF
1004310180013; SINOT; SINOT; NOT FOUND; 875 MG COM REV CT STR AL X 14; EUF
1004310180048; SINOT; SINOT; NOT FOUND; 875 MG COM REV CT STR AL X 7; EUF
1004310000074; SINOT CLAV; SINOT CLAV; NOT FOUND; 400 MG + 57 MG/5ML PO SUS OR CT FR VD AMB X 70 ML + SER DOS; EUF
1004310000058; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; EUF
1004310000041; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; EUF
1004310000023; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 6; EUF
1004307930031; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; CT C/ 30 FR AMP; EUF
1004307930066; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; 1 G + 2 G PO P / SOL INJ CT 20 FA VD INC + 20 AMP PLAS DIL X 6.4 ML ; EUF
1004307930023; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; CT C/ 20 FR AMP 1.5G; EUF
1004307930041; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; CT C/ 20 FR AMP 3.0G; EUF
1004307930058; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; 0.5 G + 1 G PO P / SOL INJ CT 20 FA VD INC + 20 AMP PLAS DIL X 3.2 ML ; EUF
1004306880030; SUPERHIST; SUPERHIST; NOT FOUND; CT C/ 24 COMP; EUF
1004306880014; SUPERHIST; SUPERHIST; NOT FOUND; COM CT 25 BL AL PLAS AMB X 8; EUF
1004310520019; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ CX 20 BOLS PVC SIST FECH X 500 ML; EUF
1004310520035; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; EUF
1004310520027; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML; EUF
