1004308170081; PROFLAM; PROFLAM; NOT FOUND; 150 MG PO LIOF INJ CT 5 FA VD AMB + SOL DIL X 4 ML; EUF
1004308170014; PROFLAM; PROFLAM; NOT FOUND; 15 MG/G CREM DERM CT TB AL X 30 G; EUF
1004308170030; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL/AL X 12; EUF
1004308170022; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT 2 BL AL/AL X 12; EUF
1004308170091; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL / AL X 6; EUF
1004310250054; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); EUF
1004310250011; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 10; EUF
1004310250021; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 30; EUF
1004305590047; PLATICARB; PLATICARB; NOT FOUND; 150 MG SOL. INJ. CX C/ 1 FR; EUF
1004305590055; PLATICARB; PLATICARB; NOT FOUND; 450 MG SOL. INJ. CX C/ 1 FR; EUF
1004309330015; PERMUT; PERMUT; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 10 G; EUF
1004309330023; PERMUT; PERMUT; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 10 G; EUF
1004306370156; PONDERA; PONDERA; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; EUF
1004306370172; PONDERA; PONDERA; NOT FOUND; 10 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
1004306370121; PONDERA; PONDERA; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 10; EUF
1004306370164; PONDERA; PONDERA; NOT FOUND; 40 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
1004306370032; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
1004306370024; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10; EUF
1004306370113; PONDERA; PONDERA; NOT FOUND; 30 MG COM REV CT 3 BL AL PLAS INC X 10; EUF
1004306370040; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; EUF
1004306370091; PONDERA; PONDERA; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 10; EUF
1004309470011; PONDERA; PONDERA; NOT FOUND; 15 MG COM REV CT BL AL PLAS INC X 10; EUF
1004309470021; PONDERA; PONDERA; NOT FOUND; 15 MG COM REV CT BL AL PLAS INC X 20; EUF
1004309470046; PONDERA; PONDERA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10; EUF
1004309470054; PONDERA; PONDERA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; EUF
1004306000014; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21 ; EUF
1004306000022; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.020 MG COM REV CT BL AL PLAS INC X 21 ; EUF
1004306000049; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.020 MG COM REV CT BL AL PLAS INC X 63; EUF
1004306000030; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT  BL AL PLAS INC X 63; EUF
1004310960019; PERIVASC; PERIVASC; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; EUF
1004310960027; PERIVASC; PERIVASC; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; EUF
1004306850026; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 80.000 UI/ML PO SOL OR CT FR VD AMB X 60 ML; EUF
1004306850034; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 80.000 UI/ML PO SOL OR CT FR VD AMB X 60 ML + CP MED; EUF
1004306850018; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 500.000 UI COM CT ENV AL POLIET X 12; EUF
1004310120037; PACO; PACO; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 24; EUF
1004310120029; PACO; PACO; NOT FOUND; 500MG + 30MG COM CT BL AL PLAS INC X 12; EUF
1004310300027; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500MG + 30MG COM CT BL AL PLAS INC X 12; EUF
1004306450036; PERCOF; PERCOF; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED ; EUF
1004306450052; PERCOF; PERCOF; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 60 ML + COPO MED; EUF
1004310680016; PIEMONTE; PIEMONTE; NOT FOUND; 4 MG COM MAST CT BL AL/AL X 10 ; EUF
1004310680032; PIEMONTE; PIEMONTE; NOT FOUND; 4 MG COM MAST CT BL AL/AL X 30; EUF
1004310680040; PIEMONTE; PIEMONTE; NOT FOUND; 5 MG COM MAST CT BL AL/AL X 10; EUF
1004310680067; PIEMONTE; PIEMONTE; NOT FOUND; 5 MG COM MAST CT BL AL/AL X 30 ; EUF
1004305160034; PACLITAX; PACLITAX; NOT FOUND; 6MG/ML SOL INJ CT FA VD INC X 17 ML; EUF
1004305160018; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 5 ML; EUF
1004305160050; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 25 ML; EUF
