1004308250026; FILINAR; FILINAR; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED; EUF
1004308250018; FILINAR; FILINAR; NOT FOUND; 5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED; EUF
1004308250042; FILINAR; FILINAR; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 60 ML + COPO MED; EUF
1004308250034; FILINAR; FILINAR; NOT FOUND; 5 MG/ML XPE PED CT FR VD AMB X 60 ML + COPO MED; EUF
1004310860022; FILINAR G; FILINAR G; NOT FOUND; 5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED; EUF
1004305840019; FUNGI; FUNGI; NOT FOUND; CT C/ 1 FR - 50 MG; EUF
1004310240016; FÁGICO; FAGICO; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EUF
1004310010037; FOZNOL; FOZNOL; NOT FOUND; 750 MG COM MAST CT FR PLAS OPC X 90; EUF
1004310010029; FOZNOL; FOZNOL; NOT FOUND; 500 MG COM MAST CT FR PLAS OPC X 90; EUF
1004305170021; FLUXENE; FLUXENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; EUF
1004305170031; FLUXENE; FLUXENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; EUF
1004305170064; FLUXENE; FLUXENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 28; EUF
1004305170056; FLUXENE; FLUXENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 14 ; EUF
1004305170153; FLUXENE; FLUXENE; NOT FOUND; 20 MG CAP GEL DURA  CT BL AL PLAS INC X 60; EUF
1004306110030; FLUSTEN; FLUSTEN; NOT FOUND; SACHET DISPLAY C/ 20 ENV; EUF
1004306110014; FLUSTEN; FLUSTEN; NOT FOUND; CT C/ 2 BL X 10 CAPS; EUF
1004308160019; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30; EUF
1004308150013; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 15 ; EUF
1004308150021; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; EUF
1004300400010; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 2 MG/ ML SOL INJ INF IV CX C/ 6 BOLSAS PLAST X 100 ML; EUF
1004308900012; FLUMAZENIL; FLUMAZENIL; FLUMAZENIL; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML ; EUF
1004308900020; FLUMAZENIL; FLUMAZENIL; FLUMAZENIL; 0.1 MG/ML SOL INJ CT 25 AMP VD INC X 5 ML  ; EUF
