1004309250021; LORED; LORED; NOT FOUND; 2.5 MG + 50 MG CAP GEL DURA CT STR AL X 30 ; EUF
1004309250062; LORED; LORED; NOT FOUND; 5.0 MG + 100 MG CAP GEL DURA CT STR AL X 30; EUF
1004306820046; LOCOID; LOCOID; NOT FOUND; 1 MG/G LOC EMU CT FR PLAS OPC X 30 G; EUF
1004306820011; LOCOID; LOCOID; NOT FOUND; 1 MG/G CREM DERM CT TB AL X 15 G; EUF
1004305990029; LEVOGEN; LEVOGEN; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 63; EUF
1004305990010; LEVOGEN; LEVOGEN; NOT FOUND; 0.150 MG + 0.030 MG DRG CT BL AL PLAS INC X 21; EUF
1004305990053; LEVOGEN; LEVOGEN; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21; EUF
1004309930039; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; EUF
1004309930063; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 30; EUF
1004300250019; LAMIVUDINA; LAMIVUDINA; LAMIVUDINA; 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.); EUF
1004310600020; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 25MG COM CT BL AL PLAS TRANS X 30; EUF
1004310600055; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 50MG COM CT BL AL PLAS TRANS X 30; EUF
1004310600081; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100MG COM CT BL AL PLAS TRANS X 30; EUF
1004310590025; LÉPTICO; LEPTICO; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310590033; LÉPTICO; LEPTICO; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 60; EUF
1004310590051; LÉPTICO; LEPTICO; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310590068; LÉPTICO; LEPTICO; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 60; EUF
1004310590084; LÉPTICO; LEPTICO; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30; EUF
1004310590092; LÉPTICO; LEPTICO; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 60; EUF
1004309530014; LETROZOL; LETROZOL; LETROZOL; 2.5 MG COM REV CT BL AL PLAS INC X 28; EUF
1004309530030; LETROZOL; LETROZOL; LETROZOL; 2.5 MG COM REV CT BL AL PLAS INC X 30; EUF
1004307830010; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT FA VD INC X 100 ML ; EUF
1004307830029; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT BOLSA PLAS INC X 100 ML ; EUF
1004307830037; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML ; EUF
1004308870040; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
1004308870024; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; EUF
1004308870032; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7  ; EUF
1004308870075; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
1004308870059; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 42 (EMB FRAC); EUF
1004308890017; LORATADINA + SULF. PSEUDOEFEDRINA; LORATADINA SULF PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML; EUF
1004309110074; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 120 (EMB FRAC) ; EUF
1004309110139; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 120 (EMB FRAC); EUF
1004309110031; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 15; EUF
1004309110041; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 30 ; EUF
1004309110082; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 60; EUF
1004309110104; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; EUF
1004307400016; LINATIS; LINATIS; NOT FOUND; 0.35 MG COM CT 5 BL AL PLAS INC X 7 ; EUF
