1004310740027; VAST; VAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EUF
1004310740061; VAST; VAST; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; EUF
1004310740108; VAST; VAST; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; EUF
1004310740019; VAST; VAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; EUF
1004310740051; VAST; VAST; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; EUF
1004310740094; VAST; VAST; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; EUF
1004309890053; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; EUF
1004309890029; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; EUF
1004309890061; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; EUF
1004309890037; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; EUF
1004309890045; VASATIV; VASATIV; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 15; EUF
1004309890010; VASATIV; VASATIV; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 15; EUF
1004309010010; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G; EUF
1004309000015; VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G; EUF
1004309400102; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
1004309400129; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
1004309400145; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 30; EUF
