529912090040503, SCITALAX, SCITALAX, NOT FOUND, 10 MG COM REV CT BL AL AL X 14, RBY
529912090040703, SCITALAX, SCITALAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 14, RBY
529912090040603, SCITALAX, SCITALAX, NOT FOUND, 10 MG COM REV CT BL AL AL X 28, RBY
529912090040803, SCITALAX, SCITALAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 28, RBY
529912100043303, SELZIC, SELZIC, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 10, RBY
529912100043403, SELZIC, SELZIC, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC 20, RBY
529912100043503, SELZIC, SELZIC, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC 30, RBY
529912100043603, SELZIC, SELZIC, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC 60, RBY
529912100043703, SELZIC, SELZIC, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 10, RBY
529912100043803, SELZIC, SELZIC, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC 20, RBY
529912100043903, SELZIC, SELZIC, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC 30, RBY
529912100044003, SELZIC, SELZIC, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC 60, RBY
529906001110112, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS OPC X 2, RBY
529906002117110, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS OPC X 4, RBY
529906101115116, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM CT BL AL PLAS INC X 10, RBY
529906102111114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM CT BL AL PLAS INC X 30, RBY
529906103118112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM CT BL AL PLAS INC X 30, RBY
529906104114110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM CT BL AL PLAS INC X 10 , RBY
529912060039506, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM CT  BL AL PLAS INC X 30, RBY
529906107113115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM CT BL AL PLAS INC X 10 , RBY
529913070046806, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM CT  BL AL PLAS INC X 30, RBY
