529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COMP C/ 3 BL X 10, RBY
529912502118110, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912504110117, GABAPENTINA, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529912501111112, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT 3 BL AL PLAS OPC X 10, RBY
529912503114119, GABAPENTINA, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP), RBY
529904101118119, GLIBENCLAMIDA, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COMP C/ 3 BL X 10, RBY
