529912030037406, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 10, RBY
529912100044203, EZOBLOC, EZOBLOC, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10, RBY
529912030036506, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 14, RBY
529912100044303, EZOBLOC, EZOBLOC, NOT FOUND, 20 MG COM REV CT BL AL/AL X 14, RBY
529912030036606, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, RBY
529912100044403, EZOBLOC, EZOBLOC, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, RBY
529912030036706, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 30, RBY
529912100044503, EZOBLOC, EZOBLOC, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, RBY
529912030037106, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 7 , RBY
529912100044103, EZOBLOC, EZOBLOC, NOT FOUND, 20 MG COM REV CT BL AL/AL X 7, RBY
529912030036906, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 10, RBY
529912100044703, EZOBLOC, EZOBLOC, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10, RBY
529912030037006, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, RBY
529912100044803, EZOBLOC, EZOBLOC, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, RBY
529912030037206, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 28, RBY
529912100044903, EZOBLOC, EZOBLOC, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, RBY
529912030037306, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 30, RBY
529912100045003, EZOBLOC, EZOBLOC, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, RBY
529912030036806, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESIO, ESOMEPRAZOL MAGNESICO DI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 7 , RBY
529912100044603, EZOBLOC, EZOBLOC, NOT FOUND, 40 MG COM REV CT BL AL/AL X 7 , RBY
