529912090041503, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 10, RBY
529912090041803, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL/AL X 10, RBY
529912090041603, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 30, RBY
529912090041903, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL/AL X 30, RBY
529912090041703, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 60, RBY
529912090042003, DONERA, DONERA, NOT FOUND, 10 MG COM REV BL AL/AL X 60, RBY
529912090040903, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 10, RBY
529912090041203, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL/AL X 10, RBY
529912090041003, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 30, RBY
529912090041303, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL/AL X 30, RBY
529912090041103, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 60, RBY
529912090041403, DONERA, DONERA, NOT FOUND, 5 MG COM REV BL AL/AL X 60, RBY
529903701111117, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10 MG COM CT BL AL PLAS INC X 20, RBY
529903702118115, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG COM CT BL AL PLAS INC X 20, RBY
529912901160129, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL REV X 60 G  , RBY
529903901110114, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COM DESINT LENTA CT BL AL PLAS INC X 10, RBY
529903802112119, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT STR AL AL X 100 (EMB HOSP), RBY
529903803119117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT STR AL AL X 20, RBY
529912030037706, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL/AL X 10, RBY
529912030037806, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL/AL X 20, RBY
529912030037506, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL/AL X 30, RBY
529912030037606, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL/AL X 60, RBY
529915001160119, DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA, DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA, NOT FOUND, 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL REV X 30 G, RBY
529914502115118, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 30, RBY
529914501119111, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS INC X 60, RBY
