529914901151118, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO P/ SOL INJ IV CT FA VD INC (SIST FEC) X 22 ML (EMB HOSP), RBY
529914902156113, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO P/ SOL INJ IV CT25 FA VD INC (SIST FEC) X 22 ML (EMB HOSP), RBY
529912070039806, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO P/ SOL INJ IV CT FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP) , RBY
529912070039906, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO P/ SOL INJ IV CT 25 FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP) , RBY
529912070040006, IMIPENEM + CILASTATINA SÓDICA, IMIPENEM CILASTATINA SODICA, NOT FOUND, 500 MG + 500 MG PO P/ SOL INJ IV CT 50 FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP), RBY
529915020048006, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 60, RBY
529915020047806, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 15 , RBY
529915020047906, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 30, RBY
529915020048106, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 15 , RBY
529915020048206, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 30, RBY
529915020048306, IRBESARTANA+HIDROCLOROTIAZIDA, IRBESARTANA HIDROCLOROTIAZIDA, NOT FOUND, 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 60, RBY
529915906112119, IRBESARTANA, IRBESARTANA, IRBESARTANA, 150 MG COM REV BL AL PLAS INC X 15, RBY
529915901110118, IRBESARTANA, IRBESARTANA, IRBESARTANA, 150 MG COM REV BL AL PLAS INC X 30, RBY
529915902117116, IRBESARTANA, IRBESARTANA, IRBESARTANA, 150 MG COM REV BL AL PLAS INC X 60, RBY
529915903113114, IRBESARTANA, IRBESARTANA, IRBESARTANA, 300 MG COM REV BL AL PLAS INC X 15, RBY
529915904111115, IRBESARTANA, IRBESARTANA, IRBESARTANA, 300 MG COM REV BL AL PLAS INC X 30, RBY
529915905116110, IRBESARTANA, IRBESARTANA, IRBESARTANA, 300 MG COM REV BL AL PLAS INC X 60, RBY
529912070040106, ISOTRETINOÍNA, ISOTRETINOINA, ISOTRETINOINA, 0.5 MG/G GEL CT BG AL X 30 G , RBY
