529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
529905004116113, LOVASTATINA, LOVASTATINA, LOVASTATINA, 40 MG COMP C/1 BL X 10, RBY
529904401111111, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COMP C/ 6 BL X 10, RBY
529915502119111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 30, RBY
529915503115111, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 100 MG COM CT BL AL PLAS INC X 60, RBY
529915501112113, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 30, RBY
529915504111118, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 25 MG COM CT BL AL PLAS INC X 60, RBY
529915505118116, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 30, RBY
529915506114114, LAMOTRIGINA, LAMOTRIGINA, LAMOTRIGINA, 50 MG COM CT BL AL PLAS INC X 60, RBY
529904501116113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COMP C/ 1 BL X 7, RBY
529904502112111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COMP C/ 1 BL X 7, RBY
529904601110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 1 BL X 10, RBY
529904602117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10 MG COMP C/ 3 BL X 10, RBY
529904603113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 1 BL X 10, RBY
529904604111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COMP C/ 3 BL X 10, RBY
529904606112118, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5 MG COMP C/ 3 BL X 10, RBY
529904701115110, LORATADINA, LORATADINA, LORATADINA, 10 MG COMP C/ 2 BL X 6, RBY
529904801111117, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COMP C/ 1 FR X 20, RBY
529904803112110, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COMP C/ 1 FR X 20, RBY
529904901114118, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 12.5 MG COMP C/ 21, RBY
529904904113112, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 3 BL AL PLAS OPC X 10, RBY
529904902110116, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 1 BL X 14, RBY
529904903117114, LOSARTAN POTÁSSICO, LOSARTAN POTASSICO, NOT FOUND, 50 MG COMP C/ 2 BL X 14, RBY
529905001117119, LOVASTATINA, LOVASTATINA, LOVASTATINA, 10 MG COMP C/3 BL X 10, RBY
529905002113117, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/1 BL X 10, RBY
529905003111118, LOVASTATINA, LOVASTATINA, LOVASTATINA, 20 MG COMP C/3 BL X 10, RBY
