538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
