1559200010015; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1% SOL INJ IV CX 8 CT 100 AMP PLAS TRANS X 10 ML; STT
1559200010074; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
1559200010082; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
1559200010090; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
1559200010104; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
1559200010112; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
1559200010120; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 15G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
1559200010147; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10 ML ; STT
1559200010139; CLORETO DE POTASSIO; CLORETO POTASSIO; CLORETO POTASSIO; 19.1G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10 ML; STT
1559200040011; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 8 CT 100 AMP PLAST TRANS X 10 ML; STT
1559200040021; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 4 CT 100 AMP PLAST TRANS X 20 ML; STT
1559200040046; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 4 CT 100 AMP PLAST TRANS X 20 ML; STT
1559200040038; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 8 CT 100 AMP PLAST TRANS X 10 ML; STT
1559200040135; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 10ML ; STT
1559200040143; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 10ML ; STT
1559200040151; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ; STT
1559200040161; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 50 AMP PLAS TRANS X 20ML ; STT
1559200040178; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 100 AMP PLAS TRANS X 20ML ; STT
1559200040186; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 20ML ; STT
1559200040194; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ  CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
1559200040208; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
1559200040216; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
1559200040224; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
1559200040232; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
1559200040240; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
1559200040259; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
1559200040267; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
