501012030011902, LASTACAFT, LASTACAFT, NOT FOUND, 2.5 MG/ML SOL OFT CT FR PLAS GOT X 3 ML, ALL
501006601138311, LUMIGAN RC, LUMIGAN RC, NOT FOUND, 0.1 MG/ML SOL OCU CT FR PLAS OPC GOT X 3 ML, ALL
501006602134318, LUMIGAN RC, LUMIGAN RC, NOT FOUND, 0.1 MG/ML SOL OCU CT FR PLAS OPC GOT X 5 ML, ALL
501006603130316, LUMIGAN RC, LUMIGAN RC, NOT FOUND, 0.1 MG/ML SOL OCU CT FR PLAS OPC GOT X 7.5 ML, ALL
501003601171312, LUMIGAN, LUMIGAN, NOT FOUND, 0.3 MG/ML SOL OCU CT FR PLAS OPC GOT X 3 ML, ALL
501006902138319, LATISSE, LATISSE, NOT FOUND, 0.3 MG/ML SOL TOP 1 FR PLAS OPC GOT X 3 ML + 6 BAND 10 APLIC ESTERIL + 2 CX, ALL
501006903134317, LATISSE, LATISSE, NOT FOUND, 0.3 MG/ML SOL TOP 1 FR PLAS OPC GOT X 3 ML + 6 BAND 10 APLIC ESTERIL + CX, ALL
501003602176318, LUMIGAN, LUMIGAN, NOT FOUND, 0.3 MG/ML SOL OCU CT FR PLAS OPC GOT X 5 ML, ALL
501006901131310, LATISSE, LATISSE, NOT FOUND, 0.3 MG/ML SOL TOP 01 FR PLAS OPC GOT X 5 ML + 10 BAND 10 APLIC ESTERIL + 2 CX, ALL
501003501175316, LERIN, LERIN, NOT FOUND, 0.05% + 0.1% SOL OFT CT FR PLAS TRANS GOT X 24 ML, ALL
501003401170312, LACRIL, LACRIL, NOT FOUND, 14 MG/ML SOL OFT FR PLAS OPC GOT X 15 ML, ALL
