501004301171412, PILOCARPINA, PILOCARPINA, PILOCARPINA, 1.0% - FR PLASTICO - GTS - 10ML, ALL
501004302176418, PILOCARPINA, PILOCARPINA, PILOCARPINA, 2.0% - FR PLASTICO - GTS - 10ML, ALL
501004303172416, PILOCARPINA, PILOCARPINA, PILOCARPINA, 4.0% - FR PLASTICO - GTS - 10ML, ALL
501004401174316, POLIPRED, POLIPRED, NOT FOUND, 5 MG/ML + 5 MG/ML + 10.000 UI/ML SUS OFT CT FR PLAS OPC CGT X 5 ML, ALL
501004501179311, PRED MILD, PRED MILD, NOT FOUND, 0.12% - FR PLASTICO - GTS - 10ML, ALL
501004601173313, PRED-FORT, PRED FORT, NOT FOUND, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501004801172310, PROPINE, PROPINE, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501004301171412, PILOCARPINA, PILOCARPINA, PILOCARPINA, 1.0% - FR PLASTICO - GTS - 10ML, ALL
501004302176418, PILOCARPINA, PILOCARPINA, PILOCARPINA, 2.0% - FR PLASTICO - GTS - 10ML, ALL
501004303172416, PILOCARPINA, PILOCARPINA, PILOCARPINA, 4.0% - FR PLASTICO - GTS - 10ML, ALL
501004401174316, POLIPRED, POLIPRED, NOT FOUND, 5 MG/ML + 5 MG/ML + 10.000 UI/ML SUS OFT CT FR PLAS OPC CGT X 5 ML, ALL
501004501179311, PRED MILD, PRED MILD, NOT FOUND, 0.12% - FR PLASTICO - GTS - 10ML, ALL
501004601173313, PRED-FORT, PRED FORT, NOT FOUND, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501004801172310, PROPINE, PROPINE, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501004301171412, PILOCARPINA, PILOCARPINA, PILOCARPINA, 1.0% - FR PLASTICO - GTS - 10ML, ALL
501004302176418, PILOCARPINA, PILOCARPINA, PILOCARPINA, 2.0% - FR PLASTICO - GTS - 10ML, ALL
501004303172416, PILOCARPINA, PILOCARPINA, PILOCARPINA, 4.0% - FR PLASTICO - GTS - 10ML, ALL
