501002501171312, FENIDEX, FENIDEX, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501002601176316, FENILEFRINA, FENILEFRINA, FENILEFRINA, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501002701170417, FILMCEL, FILMCEL, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501002801175410, FLUMEX, FLUMEX, NOT FOUND, 0.1% - FR PLASTICO - GTS - 10ML, ALL
501002802171419, FLUMEX, FLUMEX, NOT FOUND, 0.25% - FR PLASTICO - GTS - 5ML, ALL
501002901171311, FLUMEX-N, FLUMEX N, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501003001172318, FLUO-VASO, FLUO VASO, NOT FOUND, 0.25MG/ML + 0.5MG/ML + 4.0MG/ML + 7.0MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALL
501006501133316, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, ALL
501006502131317, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML, ALL
501006503136312, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, ALL
501003102173311, FRESH TEARS, FRESH TEARS, NOT FOUND, 10 MG/ML SOL OCU CT FR PLAS GOT X 15 ML, ALL
501003103137414, FRESH TEARS, FRESH TEARS, NOT FOUND, 5 MG/ML SOL OCU CT FR PLAS GOT X 10 ML, ALL
501003101177311, FRESH TEARS, FRESH TEARS, NOT FOUND, 5 MG/ML SOL OCU CT FR PLAS GOT X 15 ML, ALL
501002501171312, FENIDEX, FENIDEX, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501002601176316, FENILEFRINA, FENILEFRINA, FENILEFRINA, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501002701170417, FILMCEL, FILMCEL, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501002801175410, FLUMEX, FLUMEX, NOT FOUND, 0.1% - FR PLASTICO - GTS - 10ML, ALL
501002802171419, FLUMEX, FLUMEX, NOT FOUND, 0.25% - FR PLASTICO - GTS - 5ML, ALL
501002901171311, FLUMEX-N, FLUMEX N, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501003001172318, FLUO-VASO, FLUO VASO, NOT FOUND, 0.25MG/ML + 0.5MG/ML + 4.0MG/ML + 7.0MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALL
501006501133316, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, ALL
501006502131317, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML, ALL
501006503136312, FRESH CLEAR, FRESH CLEAR, NOT FOUND, 1.2 MG/ML + 14.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, ALL
