1004704730020; BONEPREV; BONEPREV; NOT FOUND; 70 MG COM REV CT BL AL/AL X 4; SDZ
1004704330022; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 20; SDZ
1004704330030; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL/AL X 30; SDZ
1004704330057; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 20; SDZ
1004704330065; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL/AL X 30; SDZ
1004704240058; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/ AL X 14; SDZ
1004704240082; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/ AL X 28; SDZ
1004704420031; BROMALEX; BROMALEX; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 30; SDZ
1004704420102; BROMALEX; BROMALEX; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 30; SDZ
1004704450028; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; SDZ
1004704450095; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; SDZ
1004704450036; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30 ; SDZ
1004704450109; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30 ; SDZ
