1004702030021; DEXAMETONAL; DEXAMETONAL; NOT FOUND; 1MG/G POM DERM CT BG AL X 10G; SDZ
1004702030031; DEXAMETONAL; DEXAMETONAL; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; SDZ
1004704770022; DESARCOR; DESARCOR; NOT FOUND; 8 MG COM CT BL AL/AL X 30; SDZ
1004704770057; DESARCOR; DESARCOR; NOT FOUND; 16 MG COM CT BL AL/AL X 30; SDZ
1004704770014; DESARCOR; DESARCOR; NOT FOUND; 8 MG COM CT BL AL/AL X 7; SDZ
1004703180019; DIASEC; DIASEC; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 12; SDZ
1004703180027; DIASEC; DIASEC; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 200 (EMB MULT); SDZ
1004705170010; DESOGESTREL; DESOGESTREL; DESOGESTREL; 0.075 MG COM REV CT BL AL PLAS TRANS X 28 ; SDZ
1004703480020; DICLAC; DICLAC; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; SDZ
1004703480047; DICLAC SR; DICLAC SR; NOT FOUND; 75 MG COM LIB LENTA CT BL AL PLAS INC X 20; SDZ
1004703400027; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT  BL AL PLAS INC X 20; SDZ
5555555555555; DICLAC SR; DICLAC SR; NOT FOUND; CONTROLE; SDZ
1004704590059; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004704590024; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704590040; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 12; SDZ
1004704590016; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 6; SDZ
1004704820011; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL/AL X 30; SDZ
1004704820070; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL/AL X 30; SDZ
1004704820046; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.250 MG COM CT BL AL/AL X 30; SDZ
1004704020015; DOCETAXEL; DOCETAXEL; DOCETAXEL; 20 MG SOL INJ IV CT FA VD INC X 0.5 ML + DIL FA VD INC X 1.5 ML  ; SDZ
1004704020023; DOCETAXEL; DOCETAXEL; DOCETAXEL; 80 MG SOL INJ IV CT FA VD INC X 2.0 ML + DIL FA VD INC X 6.0 ML  ; SDZ
1004703300014; DOXICICLINA; DOXICICLINA; DOXICICLINA; 100 MG COM SOLUV CT BL AL PLAS INC X 15; SDZ
1004703300022; DOXICICLINA; DOXICICLINA; DOXICICLINA; 100 MG COM SOLUV CT BL AL PLAS INC X 20; SDZ
1004705200017; DROSPIRENONA / ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3.00 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21.; SDZ
1004704470029; DOXURAN; DOXURAN; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 20; SDZ
1004704470037; DOXURAN; DOXURAN; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; SDZ
1004704470053; DOXURAN; DOXURAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 10; SDZ
1004704470088; DOXURAN; DOXURAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; SDZ
