1004704520034; CLAXAM; CLAXAM; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR ; SDZ
1004704520123; CLAXAM; CLAXAM; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS X 14; SDZ
1004704520131; CLAXAM; CLAXAM; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS X 20; SDZ
1004704760051; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL/AL X 30; SDZ
1004704760027; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL/AL X 30; SDZ
1004705290024; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL AL X 30; SDZ
1004703950061; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT 2 BL AL PLAS INC X 15; SDZ
1004703270026; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5MG COMP CX C/ 30; SDZ
1004703950124; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25MG COM CT 1 BL AL PLAS INC X 14; SDZ
1004703950094; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 3 BL AL PLAS INC X 10  ; SDZ
1004703950108; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 6 BL AL PLAS INC X 10  ; SDZ
1004703270131; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25MG COMP CX C/ 28; SDZ
1004703950167; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 3 BL AL PLAS INC X 10   ; SDZ
1004703950175; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 6 BL AL PLAS INC X 10  ; SDZ
1004703270204; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG COMP CX C/ 28; SDZ
1004702620023; CAPTOTEC; CAPTOTEC; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; SDZ
1004702620041; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; SDZ
1004702620066; CAPTOTEC; CAPTOTEC; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; SDZ
1004702620181; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT 4 BL AL PLAS INC X 14 ; SDZ
1004702620104; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; SDZ
1004702620368; CAPTOTEC; CAPTOTEC; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; SDZ
1004702620449; CAPTOTEC; CAPTOTEC; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; SDZ
1004703350054; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS INC X 16; SDZ
1004703350062; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 3 BL AL PLAS INC X 10; SDZ
1004702780012; CAPTOTEC HCT; CAPTOTEC HCT; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS INC X 30; SDZ
1004704280017; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD; SDZ
1004704280025; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD; SDZ
1004704500025; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 08 ; SDZ
1004704000022; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; SDZ
1004704410026; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
