1004704160011; GEPEPROSTIN; GEPEPROSTIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004704080026; GEMCIT; GEMCIT; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC ; SDZ
1004704080018; GEMCIT; GEMCIT; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC ; SDZ
1004700470018; GASTROPLUS; GASTROPLUS; NOT FOUND; GEL SUS FR C/ 150 ML; SDZ
1004700470026; GASTROPLUS; GASTROPLUS; NOT FOUND; CX C/ 2 BL X 10; SDZ
1004700480016; GRIPOMATINE; GRIPOMATINE; NOT FOUND; CPR CX. C/ 20; SDZ
1004700480057; GRIPOMATINE; GRIPOMATINE; NOT FOUND; DISPLAY CPR CX. C/ 100; SDZ
1004704750013; GESTODENO + ETINILESTRADIOL; GESTODENO ETINILESTRADIOL; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24; SDZ
1004702940011; GLIMEPRID; GLIMEPRID; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; SDZ
1004702940044; GLIMEPRID; GLIMEPRID; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; SDZ
1004702940079; GLIMEPRID; GLIMEPRID; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; SDZ
1004704200031; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; SDZ
1004704200080; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; SDZ
1004704200102; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 60; SDZ
1004704200137; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; SDZ
1004704200153; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 60; SDZ
