1004704150016; ANDELUX; ANDELUX; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 20; SDZ
1004704610041; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; SDZ
1004703290035; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; SDZ
1004703290043; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
1004703290078; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS BCO OPC X 70; SDZ
1004704740034; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 8; SDZ
1004704740026; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 4; SDZ
1004703310079; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 30; SDZ
1004703310011; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 30; SDZ
1004704030088; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20; SDZ
1004704030053; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20; SDZ
1004704030037; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT FR VD AMB X 30; SDZ
1004704270062; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 16; SDZ
1004704270070; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 20; SDZ
1004704270089; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; SDZ
1004704270100; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; SDZ
1004703610072; AMOXINA; AMOXINA; NOT FOUND; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML ; SDZ
1004703610048; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; SDZ
1004703610056; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; SDZ
1004703610064; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; SDZ
1004704570295; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 14 ; SDZ
1004704570309; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 21; SDZ
1004704310013; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 75 ML + COL DOSAD; SDZ
1004704310021; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 100 ML + COL DOSAD ; SDZ
1004704310031; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 75 ML + COL DOSAD; SDZ
1004704310048; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 100 ML + COL DOSAD; SDZ
1004704310056; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; (80+11.4) MG/ML PO SUS OR CT FR VD AMB X 70 ML + DOSAD ; SDZ
1004704570015; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 12; SDZ
1004704570041; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 20; SDZ
1004704570198; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 12; SDZ
1004704570201; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 14; SDZ
1004704570228; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 20; SDZ
1004704570031; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 12; SDZ
1004704300018; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; SDZ
