1004702670012; TRILAX; TRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 12; SDZ
1004702670144; TRILAX; TRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100; SDZ
1004702670020; TRILAX; TRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30; SDZ
1004702460018; TIRACASPA; TIRACASPA; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML ; SDZ
1004701220018; TIMPANOL; TIMPANOL; NOT FOUND; SOL OTOLOGICA FR. C/ 10 ML; SDZ
1004704120011; TRIXOTENE; TRIXOTENE; NOT FOUND; 20 MG SOL INJ CT FA VD INC X 0.5 ML + SOL DIL X 1.5 ML; SDZ
1004704120028; TRIXOTENE; TRIXOTENE; NOT FOUND; 80 MG SOL INJ CT FA VD INC X 2.0 ML + SOL DIL X 6.0 ML; SDZ
1004703920012; TARTARATO DE ZOLPIDEM; TARTARATO ZOLPIDEM; NOT FOUND; 10 MG COM REV CT 1 BL AL PLAS BCO OPC X 10 ; SDZ
1004703920020; TARTARATO DE ZOLPIDEM; TARTARATO ZOLPIDEM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 20; SDZ
1004704090013; TARVEXOL; TARVEXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 5 ML ; SDZ
1004704090048; TARVEXOL; TARVEXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML; SDZ
1004704090064; TARVEXOL; TARVEXOL; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML; SDZ
1004703090060; TYLECETAMOL; TYLECETAMOL; NOT FOUND; 750 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); SDZ
1004703090052; TYLECETAMOL; TYLECETAMOL; NOT FOUND; 750 MG COM CT BL AL PLAS AMB X 12; SDZ
