1004702490081; MICOSTEN; MICOSTEN; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC SPR X 30 ML; SDZ
1004702490065; MICOSTEN; MICOSTEN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; SDZ
1004703380107; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 10; SDZ
1004703380123; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; SDZ
1004703380158; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; SDZ
1004703380093; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; SDZ
1004702930049; MOVACOX; MOVACOX; NOT FOUND; 15 MG COM CT STR  AL/AL X 10; SDZ
1004702930022; MOVACOX; MOVACOX; NOT FOUND; 7.5 MG COM CT STR  AL/AL X 10; SDZ
1004702930030; MOVACOX; MOVACOX; NOT FOUND; 15 MG COM CT BL AL/AL X 10; SDZ
1004702930014; MOVACOX; MOVACOX; NOT FOUND; 7.5 MG COM CT BL AL/AL X 10; SDZ
1004703210015; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS TRANS X 10; SDZ
1004703210031; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; SDZ
1004703210058; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL TRANS INC X 10; SDZ
1004703210074; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL PLAS INC X 30; SDZ
1004703210066; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM CT BL AL PLAS INC X 20; SDZ
1004703550010; MIANSERINA; MIANSERINA; MIANSERINA; 30MG COMP C/20; SDZ
1004705120048; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 15 MG COM ORODISP CT BL AL/AL X 28; SDZ
1004705120099; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM ORODISP CT BL AL/AL X 14; SDZ
1004705120110; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM ORODISP CT BL AL/AL X 28; SDZ
1004705120188; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 45 MG COM ORODISP CT BL AL/AL X 28; SDZ
1004704620047; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 28; SDZ
1004704620020; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004704620012; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704620081; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 45 MG COM REV CT BL AL PLAS INC X 28; SDZ
1004703580025; MOCLOBEMIDA; MOCLOBEMIDA; MOCLOBEMIDA; 150MG CP C/30; SDZ
1004703580051; MOCLOBEMIDA; MOCLOBEMIDA; MOCLOBEMIDA; 300MG CP C/30; SDZ
