1004704840128; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5.0 MG COM REV CT FR PLAS OPC X 10; SDZ
1004704840225; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT FR PLAS OPC X 10; SDZ
1004704840276; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT FR PLAS OPC X 30; SDZ
1004704840179; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5.0 MG COM REV CT FR PLAS OPC X 30; SDZ
1004702450047; OMEPROTEC; OMEPROTEC; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14 ; SDZ
1004702450055; OMEPROTEC; OMEPROTEC; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 7 ; SDZ
1004702450063; OMEPROTEC; OMEPROTEC; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; SDZ
1004702450071; OMEPROTEC; OMEPROTEC; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; SDZ
1004702450111; OMEPROTEC; OMEPROTEC; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28 ; SDZ
1004704680112; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 14; SDZ
1004704680120; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 28; SDZ
1004704680198; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 7; SDZ
