1004704140053; FESTONE; FESTONE; NOT FOUND; 10 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
1004704140071; FESTONE; FESTONE; NOT FOUND; 20 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
1004704250037; FEXOLERG; FEXOLERG; NOT FOUND; 120 MG COM REV CT BL AL PLAS OPC X 10; SDZ
1004704250101; FEXOLERG; FEXOLERG; NOT FOUND; 180 MG COM REV CT BL AL PLAS OPC X 10; SDZ
1004702850053; FELODIL; FELODIL; NOT FOUND; 10 MG COM REV DES LENTA CT 2 BL AL PLAS INC X 10; SDZ
1004702850037; FELODIL; FELODIL; NOT FOUND; 5 MG COM REV DES LENTA CT 2 BL AL PLAS INC X 10; SDZ
1004703960057; FELODIPINO; FELODIPINO; FELODIPINO; 10 MG COM DES LENTA CT 2 BL AL PLAS OPC X 10; SDZ
1004703960022; FELODIPINO; FELODIPINO; FELODIPINO; 5 MG COM DES LENTA CT 2 BL AL PLAS OPC X 10; SDZ
1004704290012; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004704290020; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60; SDZ
1004704370032; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004702470031; FLUTEC; FLUTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 1 ; SDZ
1004702470064; FLUTEC; FLUTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 2; SDZ
1004702470080; FLUTEC; FLUTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1   ; SDZ
1004702470102; FLUTEC; FLUTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2  ; SDZ
1004704540027; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; SDZ
1004704540019; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; SDZ
1004703380044; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS INC X 21; SDZ
1004703720102; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 10MG C/20; SDZ
1004703720021; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 5MG C/20; SDZ
1004704920075; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV OR CT BL AL PLAS INC X 28; SDZ
1004704920121; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV OR CT BL AL PLAS INC X 28; SDZ
1004704920016; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004702690031; FLOX; FLOX; NOT FOUND; 400 MG COM REV CT STR AL/AL X 14 ; SDZ
1004702690056; FLOX; FLOX; NOT FOUND; 400 MG COM REV CT BL AL / AL X 14 ; SDZ
