1004704230052; PLAGREL; PLAGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 14; SDZ
1004704230087; PLAGREL; PLAGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 28; SDZ
1004704560028; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; SDZ
1004704560036; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; SDZ
1004704560060; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; SDZ
1004704560079; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; SDZ
1004703070027; PANTOPAZ; PANTOPAZ; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; SDZ
1004703070035; PANTOPAZ; PANTOPAZ; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; SDZ
1004703070019; PANTOPAZ; PANTOPAZ; NOT FOUND; 20 MG COM REV CT BL AL/AL X 7; SDZ
1004703070183; PANTOPAZ; PANTOPAZ; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; SDZ
1004703070191; PANTOPAZ; PANTOPAZ; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; SDZ
1004703070175; PANTOPAZ; PANTOPAZ; NOT FOUND; 40 MG COM REV CT BL AL/AL X 7; SDZ
1004704320140; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 ( EMB MULT); SDZ
1004704320043; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; SDZ
1004703660029; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 600MG C/20; SDZ
1004703500021; PIRACETAM; PIRACETAM; PIRACETAM; 800MG COMP C/30; SDZ
1004703220037; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG COM SOLUV CT STR  AL/AL  X 10 ; SDZ
1004703220053; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG COM SOLUV CT STR  AL/AL  X 15; SDZ
