1004704100019; LECTRUM; LECTRUM; NOT FOUND; 3.75 MG PO LIOF INJ CT FA VD INC AMP DIL X 1.5 ML + SER + 2 AGU; SDZ
1004704100027; LECTRUM; LECTRUM; NOT FOUND; 7.50 MG PO LIOF INJ CT FA VD INC AMP DIL X 1.5 ML + SER + 2 AGU; SDZ
1004700530124; LONGEVIT; LONGEVIT; NOT FOUND; CPR CX. C/ 30; SDZ
1004700530132; LONGEVIT; LONGEVIT; NOT FOUND; CPR CX. C/ 60; SDZ
1004700530093; LONGEVIT E; LONGEVIT E; NOT FOUND; CPR CX. C/ 20; SDZ
1004700530108; LONGEVIT E; LONGEVIT E; NOT FOUND; CPR CX. C/ 60; SDZ
1004704830076; LIVIPARK; LIVIPARK; NOT FOUND; 1 MG COM CT BL AL/AL X 30; SDZ
1004704830017; LIVIPARK; LIVIPARK; NOT FOUND; 0.125 MG COM CT BL AL/AL X 30; SDZ
1004704830041; LIVIPARK; LIVIPARK; NOT FOUND; 0.250 MG COM CT BL AL/AL X 30; SDZ
1004705210012; LYLLAS; LYLLAS; NOT FOUND; 3.00 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21; SDZ
1004704780036; LIZZY; LIZZY; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 72; SDZ
1004704780011; LIZZY; LIZZY; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24; SDZ
1004703640087; LISINORETIC; LISINORETIC; NOT FOUND; (20 + 12.5) MG COM CT 2 BL AL PLAS INC X 15; SDZ
1004703640125; LISINORETIC; LISINORETIC; NOT FOUND; (10 + 12.5) MG COM CT 3 BL AL PLAS INC X 10; SDZ
1004703020021; LORSAR HCT; LORSAR HCT; NOT FOUND; 50 MG+12.5 MG COM REV CT BL AL PLAS AMB X 30; SDZ
1004703020070; LORSAR HCT; LORSAR HCT; NOT FOUND; 50 MG+12.5 MG COM REV CT BL AL PLAS AMB X 28 ; SDZ
1004705280010; LOSARTANA POTASSICA+HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30 ; SDZ
1004703020127; LORSAR-HCT; LORSAR HCT; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; SDZ
1004702820049; LANSOHEXAL; LANSOHEXAL; NOT FOUND; 30 MG CAP LIB RET CT FR PLAS OPC X 14; SDZ
1004702820030; LANSOHEXAL; LANSOHEXAL; NOT FOUND; 30 MG CAP LIB RET CT FR PLAS OPC X 7; SDZ
1004704340011; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704340079; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
1004704340052; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 3; SDZ
1004704340060; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704360101; LEVOBIOT; LEVOBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704360118; LEVOBIOT; LEVOBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS  INC X 10; SDZ
1004704360037; LEVOBIOT; LEVOBIOT; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7; SDZ
1004704360088; LEVOBIOT; LEVOBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; SDZ
1004703760090; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
1004703760147; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
1004703760041; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
1004703760228; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; SDZ
1004703760260; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; SDZ
1004703760181; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; SDZ
1004703260071; LISINOVIL; LISINOVIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; SDZ
1004703260111; LISINOVIL; LISINOVIL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; SDZ
1004703260039; LISINOVIL; LISINOVIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; SDZ
1004704480024; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PLAS INC X 10; SDZ
1004704480032; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PVC X 12; SDZ
1004704040024; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PLAS OPC X 60 ML + CP MED; SDZ
1004703150020; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS INC X 14; SDZ
1004703150039; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; SDZ
1004703150047; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 60 ; SDZ
1004703150055; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30 ; SDZ
1004704260016; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004704260024; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 28; SDZ
1004703150098; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS OPC X 14  ; SDZ
1004703150101; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS OPC X 28; SDZ
1004703150128; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS OPC X 30; SDZ
1004703150111; LORSACOR; LORSACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS OPC X 60; SDZ
1004703930034; LOVASTATINA; LOVASTATINA; LOVASTATINA; 10 MG COM CT BL AL PLAS BRANC OPC X 30; SDZ
1004703930069; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT BL AL PLAS BRANC OPC X 30; SDZ
1004703930077; LOVASTATINA; LOVASTATINA; LOVASTATINA; 40 MG COM CT BL AL PLAS BRANC OPC X 10; SDZ
