520715101117418, NAPROX, NAPROX, NOT FOUND, 250 MG COM CT BL AL PLAS LARANJA X 20, TTB
520715102113416, NAPROX, NAPROX, NOT FOUND, 500 MG COM CT BL AL PLAS LARANJA X 20, TTB
520715203114116, NAPROXENO, NAPROXENO, NAPROXENO, 250 MG COM CX BL AL PLAS LAR X 100 (EMB HOSP), TTB
520715201111111, NAPROXENO, NAPROXENO, NAPROXENO, 250MG COM CT 2 BL AL PLAS LAR X 15, TTB
520715202118118, NAPROXENO, NAPROXENO, NAPROXENO, 500MG COM CT 2 BL AL PLAS LAR X 10, TTB
520715301167419, NEOCINOLON, NEOCINOLON, NOT FOUND, POM BISN X 20 G, TTB
520728901133118, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, TTB
520715401110419, NIMESULIX, NIMESULIX, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 12, TTB
520715402133412, NIMESULIX, NIMESULIX, NOT FOUND, SUSP ORAL FR X 60 ML, TTB
520715403131413, NIMESULIX, NIMESULIX, NOT FOUND, SUSP ORAL GTS 50 MG/ML FRX15ML, TTB
520715503134112, NISTATINA, NISTATINA, NISTATINA, 100.000 UI SUS OR CT FR VD AMB X 50 ML, TTB
520715504130110, NISTATINA, NISTATINA, NISTATINA, 100.000 UI SUS OR CX 50 FR VD AMB X 50 ML (EMB HOSP), TTB
520715502162112, NISTATINA, NISTATINA, NISTATINA, CREME VAG - CX. C/ 50 BISN X 60 G, TTB
520715501166114, NISTATINA, NISTATINA, NISTATINA, CREME VAG BISN X 60G, TTB
520715601111419, NITROFEN, NITROFEN, NOT FOUND, 100 MG CAP GEL DURA CT 3 BL AL PLAS INC X 8, TTB
520726701110118, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS INC X 14, TTB
520724601119419, NORTRIP, NORTRIP, NOT FOUND, 25 MG CAP GEL DURA 2 BL AL PLAS INC X 10, TTB
520724602115417, NORTRIP, NORTRIP, NOT FOUND, 50 MG CAP GEL DURA 2 BL AL PLAS INC X 10, TTB
520724603111415, NORTRIP, NORTRIP, NOT FOUND, 75 MG CAP GEL DURA 2 BL AL PLAS INC X 10, TTB
520715101117418, NAPROX, NAPROX, NOT FOUND, 250 MG COM CT BL AL PLAS LARANJA X 20, TTB
520715102113416, NAPROX, NAPROX, NOT FOUND, 500 MG COM CT BL AL PLAS LARANJA X 20, TTB
520715203114116, NAPROXENO, NAPROXENO, NAPROXENO, 250 MG COM CX BL AL PLAS LAR X 100 (EMB HOSP), TTB
520715201111111, NAPROXENO, NAPROXENO, NAPROXENO, 250MG COM CT 2 BL AL PLAS LAR X 15, TTB
520715202118118, NAPROXENO, NAPROXENO, NAPROXENO, 500MG COM CT 2 BL AL PLAS LAR X 10, TTB
520715301167419, NEOCINOLON, NEOCINOLON, NOT FOUND, POM BISN X 20 G, TTB
520728901133118, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, TTB
520715401110419, NIMESULIX, NIMESULIX, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 12, TTB
520715402133412, NIMESULIX, NIMESULIX, NOT FOUND, SUSP ORAL FR X 60 ML, TTB
520715403131413, NIMESULIX, NIMESULIX, NOT FOUND, SUSP ORAL GTS 50 MG/ML FRX15ML, TTB
520715503134112, NISTATINA, NISTATINA, NISTATINA, 100.000 UI SUS OR CT FR VD AMB X 50 ML, TTB
520715504130110, NISTATINA, NISTATINA, NISTATINA, 100.000 UI SUS OR CX 50 FR VD AMB X 50 ML (EMB HOSP), TTB
