520708101174419, DELTAMITREN, DELTAMITREN, NOT FOUND, LOCAO 20 MG FR X 100ML, TTB
520708102170417, DELTAMITREN, DELTAMITREN, NOT FOUND, SHAMPOO 20 MG FR X 100ML, TTB
520708201111419, DEPRAMINA, DEPRAMINA, DEPRAMINA, 25 MG COM REV CT BL AL PLAS INC X 20, TTB
520708202159415, DEPRAMINA, DEPRAMINA, DEPRAMINA, SOL INJ 25MG/2ML CX C/05 AMP, TTB
520708301165413, DERMDRYL, DERMDRYL, NOT FOUND, CREME BISN X 28G, TTB
520708302171417, DERMDRYL, DERMDRYL, NOT FOUND, LOCAO FR X 120ML, TTB
520708402158412, DEXADOZE, DEXADOZE, NOT FOUND, 1000 SOL INJ 3 AMP X 1 E 2 ML, TTB
520708401151414, DEXADOZE, DEXADOZE, NOT FOUND, 5000 SOL INJ 3 AMP X 1 E 2 ML, TTB
520708501131113, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 100 ML, TTB
520708502136119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1MG/ML ELX CT FR PET AMB X 100ML + CP MED, TTB
520708608163411, DEXASON, DEXASON, NOT FOUND, 1.0 MG/G CREM DERM CT 50 BG AL X 10 G (EMB HOSP), TTB
520708601118410, DEXASON, DEXASON, NOT FOUND, COMP 0.5 MG CX C / 20, TTB
520708602114419, DEXASON, DEXASON, NOT FOUND, COMP 0.75 MG CX C / 20, TTB
520708603110417, DEXASON, DEXASON, NOT FOUND, COMP 4 MG CX C / 10, TTB
520708604168419, DEXASON, DEXASON, NOT FOUND, CREME 0.1% BISN X 10 G, TTB
520708605131411, DEXASON, DEXASON, NOT FOUND, ELX 0.1 MG/ML FR C/ 100 ML, TTB
520708606152412, DEXASON, DEXASON, NOT FOUND, SOL INJ 2MG/ML C / 1 AMP, TTB
520708607159410, DEXASON, DEXASON, NOT FOUND, SOL INJ 4MG/ML FR/AMP 2.5 ML CX C/1, TTB
520708701171410, DEXAVISON, DEXAVISON, NOT FOUND, SOL OFT FR C / 5 ML, TTB
520727601152119, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG/ML SOL INJ CT 72 AMP VD AMB X 2 ML( EMB HOSP), TTB
520708901162113, DICLOFENACO DIETIL, DICLOFENACO DIETIL, DICLOFENACO DIETILAMONIO, GEL DERMATOLOGICO 10 MG/G BISN. C/ 60 GR, TTB
520709001157111, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 25 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML (EMB. HOSP.), TTB
520709101135111, DICLOFENACO RESINATO, DICLOFENACO RESINATO, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, TTB
520709201156119, DICLOFENACO SODICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP), TTB
520729101130112, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML CP MED, TTB
520703801119411, DIGESTIL, DIGESTIL, NOT FOUND, 10MG COM CT BL AL PLAS INC X 20, TTB
