520710201113413, FENAFLAN, FENAFLAN, NOT FOUND, COMP REV 50MG CX C/10, TTB
520710202160415, FENAFLAN, FENAFLAN, NOT FOUND, GEL 10 MG/GR BISN X 60G, TTB
520710204139413, FENAFLAN, FENAFLAN, NOT FOUND, SUSP ORAL GTS 15MG/ML FR X15 ML, TTB
520710301118417, FENAFLAN D, FENAFLAN D, NOT FOUND, 50 MG COM DISP CT 2 BL AL PLAS INC X 10, TTB
520725701117114, FENITOÍNA, FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS LAR X 100 (EMB HOSP), TTB
520725702113112, FENITOÍNA, FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS LAR X 30, TTB
520727701157112, FENITOÍNA SÓDICA, FENITOINA SODICA, FENITOINA SODICA, 50 MG/ML SOL INJ CT 72 AMP VD INC X 5 ML (EMB HOSP), TTB
520710401112410, FENITON, FENITON, NOT FOUND, 100 MG COM CT 10 ENV KRAFT POLIET X 10, TTB
520727102113118, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 100 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), TTB
520727101117111, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 100 MG COM CT BL AL PLAS INC X 30, TTB
520722301118119, FENOXIMETILPENICILINA POTÁSSICA, FENOXIMETILPENICILINA POTASSICA, FENOXIMETILPENICILINA POTASSICA, 500000 UI COM CT 3 ENV AL X 4, TTB
520710501133411, FERROBEN, FERROBEN, NOT FOUND, SOL ORAL FR C/ 150ML, TTB
520710601111418, FERRONIL, FERRONIL, NOT FOUND, 40 MG COM REV CT BL AL PVDC X 50, TTB
520710704115416, FLANAREN, FLANAREN, NOT FOUND, 50 MG COM REV CT 15 BL AL PLAS X 20 (EMB HOSP), TTB
520710701116411, FLANAREN, FLANAREN, NOT FOUND, COMP REV 50MG C/20, TTB
520710702155410, FLANAREN, FLANAREN, NOT FOUND, SOL INJ 75 MG/ ML CX C/ 5 AMP X 3 ML, TTB
520710703151419, FLANAREN, FLANAREN, NOT FOUND, SOL INJ 75MG/ML C/100AMP, TTB
520710801137410, FLEXTOSS, FLEXTOSS, NOT FOUND, SOL ORAL 30MG/ML FR X 10 ML, TTB
520710802133419, FLEXTOSS, FLEXTOSS, NOT FOUND, XPE ADU 3MG/ML FR X 100ML, TTB
520710803131411, FLEXTOSS, FLEXTOSS, NOT FOUND, XPE INF 1.5MG/ML FR X 60ML, TTB
