520715701157119, OFLOXACINO, OFLOXACINO, OFLOXACINO, 40 MG / ML INJ. C/ 01 FR AMP 10 ML, TTB
520715801119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 10 MG - CX C/ 14, TTB
520715802115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 14, TTB
520715804118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 7, TTB
520715901156116, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), TTB
520724701172419, OXIFRIN, OXIFRIN, NOT FOUND, 0.25 MG/ML SOL NAS CT FR OPC GOT X 20 ML, TTB
520724702179417, OXIFRIN, OXIFRIN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML, TTB
520715701157119, OFLOXACINO, OFLOXACINO, OFLOXACINO, 40 MG / ML INJ. C/ 01 FR AMP 10 ML, TTB
520715801119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 10 MG - CX C/ 14, TTB
520715802115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 14, TTB
520715804118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 7, TTB
520715901156116, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), TTB
520724701172419, OXIFRIN, OXIFRIN, NOT FOUND, 0.25 MG/ML SOL NAS CT FR OPC GOT X 20 ML, TTB
520724702179417, OXIFRIN, OXIFRIN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML, TTB
520715701157119, OFLOXACINO, OFLOXACINO, OFLOXACINO, 40 MG / ML INJ. C/ 01 FR AMP 10 ML, TTB
520715801119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 10 MG - CX C/ 14, TTB
520715802115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 14, TTB
520715804118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 7, TTB
520715901156116, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), TTB
520724701172419, OXIFRIN, OXIFRIN, NOT FOUND, 0.25 MG/ML SOL NAS CT FR OPC GOT X 20 ML, TTB
520724702179417, OXIFRIN, OXIFRIN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML, TTB
520715701157119, OFLOXACINO, OFLOXACINO, OFLOXACINO, 40 MG / ML INJ. C/ 01 FR AMP 10 ML, TTB
520715801119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 10 MG - CX C/ 14, TTB
520715802115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 14, TTB
520715804118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 7, TTB
520715901156116, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), TTB
520724701172419, OXIFRIN, OXIFRIN, NOT FOUND, 0.25 MG/ML SOL NAS CT FR OPC GOT X 20 ML, TTB
520724702179417, OXIFRIN, OXIFRIN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML, TTB
520715701157119, OFLOXACINO, OFLOXACINO, OFLOXACINO, 40 MG / ML INJ. C/ 01 FR AMP 10 ML, TTB
520715801119111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 10 MG - CX C/ 14, TTB
520715802115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 14, TTB
520715804118116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, CAPS. 20 MG - CX C/ 7, TTB
520715901156116, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP), TTB
