520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, GEL VAG 500 MG BISN X 50 G, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
520711902115410, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG CX C/300, TTB
520711904134412, HINCOMOX, HINCOMOX, NOT FOUND, PO P/ SUSP ORAL 250MG/ML FRX60ML, TTB
520711905130410, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 125MG/5ML 45ML, TTB
520711906137419, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520712001154414, HIOSPAN, HIOSPAN, NOT FOUND, SOL INJ 20MG/ML CX C/06AMP, TTB
520712104158412, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) , TTB
520712101116417, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, DRG CX C/20, TTB
520712103135419, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, SOL ORAL GTS FR X 20 ML, TTB
520712203164410, HIPODERME, HIPODERME, NOT FOUND, 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G, TTB
520724401160415, HORMONIOL, HORMONIOL, NOT FOUND, 1 MG/G CREM VAG CT BG AL X 50 G + APLIC, TTB
520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, GEL VAG 500 MG BISN X 50 G, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
520711902115410, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG CX C/300, TTB
520711904134412, HINCOMOX, HINCOMOX, NOT FOUND, PO P/ SUSP ORAL 250MG/ML FRX60ML, TTB
520711905130410, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 125MG/5ML 45ML, TTB
520711906137419, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520712001154414, HIOSPAN, HIOSPAN, NOT FOUND, SOL INJ 20MG/ML CX C/06AMP, TTB
520712104158412, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) , TTB
520712101116417, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, DRG CX C/20, TTB
520712103135419, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, SOL ORAL GTS FR X 20 ML, TTB
520712203164410, HIPODERME, HIPODERME, NOT FOUND, 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G, TTB
520724401160415, HORMONIOL, HORMONIOL, NOT FOUND, 1 MG/G CREM VAG CT BG AL X 50 G + APLIC, TTB
520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, 500 MG/ 5MG GEL VAG CT BG AL X 50G, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
520711902115410, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG CX C/300, TTB
520711904134412, HINCOMOX, HINCOMOX, NOT FOUND, PO P/ SUSP ORAL 250MG/ML FRX60ML, TTB
520711905130410, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 125MG/5ML 45ML, TTB
520711906137419, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520712001154414, HIOSPAN, HIOSPAN, NOT FOUND, SOL INJ 20MG/ML CX C/06AMP, TTB
520712104158412, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) , TTB
520712101116417, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, DRG CX C/20, TTB
520712103135419, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, SOL ORAL GTS FR X 20 ML, TTB
520712203164410, HIPODERME, HIPODERME, NOT FOUND, 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G, TTB
520724401160415, HORMONIOL, HORMONIOL, NOT FOUND, 1 MG/G CREM VAG CT BG AL X 50 G + APLIC, TTB
520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, 500 MG/ 5MG GEL VAG CT BG AL X 50G, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
520711902115410, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG CX C/300, TTB
520711904134412, HINCOMOX, HINCOMOX, NOT FOUND, PO P/ SUSP ORAL 250MG/ML FRX60ML, TTB
520711905130410, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 125MG/5ML 45ML, TTB
520711906137419, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520712001154414, HIOSPAN, HIOSPAN, NOT FOUND, SOL INJ 20MG/ML CX C/06AMP, TTB
520712104158412, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) , TTB
520712101116417, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, DRG CX C/20, TTB
520712103135419, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, SOL ORAL GTS FR X 20 ML, TTB
520712203164410, HIPODERME, HIPODERME, NOT FOUND, 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G, TTB
520724401160415, HORMONIOL, HORMONIOL, NOT FOUND, 1 MG/G CREM VAG CT BG AL X 50 G + APLIC, TTB
520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, 500 MG/ 5MG GEL VAG CT BG AL X 50G, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
520711902115410, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG CX C/300, TTB
520711904134412, HINCOMOX, HINCOMOX, NOT FOUND, PO P/ SUSP ORAL 250MG/ML FRX60ML, TTB
520711905130410, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 125MG/5ML 45ML, TTB
520711906137419, HINCOMOX, HINCOMOX, NOT FOUND, SUSP 250MG/5ML CX C/50 FR X 60ML, TTB
520712001154414, HIOSPAN, HIOSPAN, NOT FOUND, SOL INJ 20MG/ML CX C/06AMP, TTB
520712104158412, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) , TTB
520712101116417, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, DRG CX C/20, TTB
520712103135419, HIOSPAN COMPOSTO, HIOSPAN COMPOSTO, NOT FOUND, SOL ORAL GTS FR X 20 ML, TTB
520712203164410, HIPODERME, HIPODERME, NOT FOUND, 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G, TTB
520724401160415, HORMONIOL, HORMONIOL, NOT FOUND, 1 MG/G CREM VAG CT BG AL X 50 G + APLIC, TTB
520711605137411, HALOPER, HALOPER, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML, TTB
520711603118418, HALOPER, HALOPER, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.), TTB
520711604157417, HALOPER, HALOPER, NOT FOUND, 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML, TTB
520711703155110, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711702159112, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), TTB
520711807112418, HELMIZOL, HELMIZOL, NOT FOUND, 250 MG COM CT 50 BL AL X 10 (EMB HOSP), TTB
520711805136417, HELMIZOL, HELMIZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, TTB
520711803168419, HELMIZOL, HELMIZOL, NOT FOUND, 500 MG/ 5MG GEL VAG CT BG AL X 50G, TTB
520711801114419, HELMIZOL, HELMIZOL, NOT FOUND, COMP 250 MG C/ 20, TTB
520711802110417, HELMIZOL, HELMIZOL, NOT FOUND, COMP 500MG CX C/20, TTB
520711806132415, HELMIZOL, HELMIZOL, NOT FOUND, SUSP ORAL 4% FR X 80 ML, TTB
520711901119412, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 250MG C/12, TTB
520711903111419, HINCOMOX, HINCOMOX, NOT FOUND, CAPS 500MG C/12, TTB
