538901202117211; XARELTO; XARELTO; NOT FOUND; 10 MG COM REV CT BL AL PP X 10; BYP
538901203113218; XARELTO; XARELTO; NOT FOUND; 10 MG COM REV CT BL AL PP X 100; BYP
538901204111219; XARELTO; XARELTO; NOT FOUND; 10 MG COM REV CT BL AL PP X 30 ; BYP
538901201110211; XARELTO; XARELTO; NOT FOUND; 10 MG COM REV CT BL AL PP X 5; BYP
538912030010102; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PVC/PVDC X 14; BYP
538912030010202; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PP X 14; BYP
538912030010302; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PVC/PVDC X 28; BYP
538912030011402; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PP X 28; BYP
538912030010402; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PVC/PVDC X 42; BYP
538912030010502; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PP X 42; BYP
538912030010602; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PVC/PVDC X 98 ; BYP
538912030010702; XARELTO; XARELTO; NOT FOUND; 15 MG COM REV CT BL AL PP X 98; BYP
538912030010802; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PP X 14 ; BYP
538912030011502; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC X 14 ; BYP
538912030010902; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC X 28; BYP
538912030011002; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PP X 28; BYP
538912030010002; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PP X 42; BYP
538912030011102; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC X 42 ; BYP
538912030011202; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC X 98; BYP
538912030011302; XARELTO; XARELTO; NOT FOUND; 20 MG COM REV CT BL AL PP X 98; BYP
