53434, HECLIVIR , HECLIVIR, NOT FOUND, CPR 200 MG x 25, N_Q
53435, HECLIVIR , HECLIVIR, NOT FOUND, CREME 0.50 % 10 G x 1, N_Q
63013, HIDRATIL 45 , HIDRATIL 45, NOT FOUND, PO ENV.LARAN 15.1 G x 12, N_Q
63014, HIDRATIL 45 , HIDRATIL 45, NOT FOUND, PO ENV.LARAN 15.1 G x 50, N_Q
64788, HIDRATIL 45 , HIDRATIL 45, NOT FOUND, PO ENV.FRAMB 15.1 G x 12, N_Q
61665, HIDRATIL 90 , HIDRATIL 90, NOT FOUND, PO ENVELOPE 14.1 G x 12, N_Q
62500, HIDRATIL 90 , HIDRATIL 90, NOT FOUND, PO ENVELOPE 14.1 G x 50, N_Q
63757, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 20, N_Q
78119, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, N_Q
52769, HIPERNOLOL , HIPERNOLOL, NOT FOUND, CPR 40 MG x 40, N_Q
55782, HIPERNOLOL , HIPERNOLOL, NOT FOUND, CPR 80 MG x 20, N_Q
50983, HIPODERMON , HIPODERMON, NOT FOUND, POM. 45 G x 1, N_Q
50984, HISTAMIN , HISTAMIN, NOT FOUND, CPR 2 MG x 20, N_Q
50985, HISTAMIN , HISTAMIN, NOT FOUND, LIQD 2 MG 100 ML x 1, N_Q
92863, HISTAMIN , HISTAMIN, NOT FOUND, CREME 10 MG 30 G x 1 (/G), N_Q
85245, HISTAMIN EXPECTO , HISTAMIN EXPECTO, NOT FOUND, SOL ORAL. 120 ML x 1, N_Q
