525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
525012402173110, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 30MG LOCAO BG 30 G, MD7
525012501163113, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CREME VAG CT 1 BG AL X 35 G + 7APL, MD7
525069101164116, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, MD7
525069102160114, TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, MD7
525012601117415, TRISEQUENS, TRISEQUENS, NOT FOUND, 2 MG COMP REV CT EST CALEND X 12 AZUL + 10 BRANCO, MD7
525012201161115, TETRACICLINA + ANFOTERICINA B, TETRACICLINA ANFOTERICINA B, NOT FOUND, CREM VAG BISN C/ 45 G + 10 APL, MD7
525067401111119, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, MD7
525067402116114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 8, MD7
525012301164116, TINIDAZOL+N.MICONAZOL, TINIDAZOL N MICONAZOL, NOT FOUND, CREME VAG 1 BG AL X 40G+ 7 APL, MD7
525012401169111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G CREM DERM CT BISN AL X 30 G, MD7
