525011201174413, SALDER S, SALDER S, NOT FOUND, CX C/ 1 SAB 80 G, MD7
525011301160414, SARCOTON, SARCOTON, NOT FOUND, POM PT C/ 10 G, MD7
525011401114112, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT 1 BL AL PLAS INC X 2, MD7
525011402110110, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT 1 BL AL PLAS INC X 4, MD7
525011502166411, SECZOL, SECZOL, NOT FOUND, CREM VAG CT BISN X 35 G + 7 APLIC, MD7
525011703110111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REVEST CT 2 BL AL PLAS INC X 30, MD7
525011707116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011708112110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.), MD7
525011711113114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011712111115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REVEST CT BL AL PLAS INC X 10, MD7
525011715119117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 5 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011717111113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REVEST CT 1 BL AL PLAS INC X 10, MD7
525011801163110, SULF. NEOMICINA + BACITRACINA, SULF NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, MD7
525011802161111, SULF. NEOMICINA + BACITRACINA, SULF NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G, MD7
525011901133116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT 1 FR VD AMB X 120 ML + 1 CP-MED X, MD7
525012001136117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP-MED, MD7
525012101130110, SULFATO DE TERBUTALINA + GUAIFENESINA, SULFATO TERBUTALINA GUAIFENESINA, NOT FOUND, 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML +, MD7
525011201174413, SALDER S, SALDER S, NOT FOUND, CX C/ 1 SAB 80 G, MD7
525011301160414, SARCOTON, SARCOTON, NOT FOUND, POM PT C/ 10 G, MD7
525011401114112, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT 1 BL AL PLAS INC X 2, MD7
525011402110110, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT 1 BL AL PLAS INC X 4, MD7
525011502166411, SECZOL, SECZOL, NOT FOUND, CREM VAG CT BISN X 35 G + 7 APLIC, MD7
525011703110111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REVEST CT 2 BL AL PLAS INC X 30, MD7
525011707116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011708112110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REVEST CT 6 BL AL PLAS INC X 10 (EMBAL. HOSP.), MD7
525011711113114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011712111115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REVEST CT BL AL PLAS INC X 10, MD7
525011715119117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 5 MG COM REVEST CT 3 BL AL PLAS INC X 10, MD7
525011717111113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REVEST CT 1 BL AL PLAS INC X 10, MD7
525011801163110, SULF. NEOMICINA + BACITRACINA, SULF NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, MD7
525011802161111, SULF. NEOMICINA + BACITRACINA, SULF NEOMICINA BACITRACINA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G, MD7
525011901133116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT 1 FR VD AMB X 120 ML + 1 CP-MED X, MD7
