501800707151419, BENZATRON, BENZATRON, NOT FOUND, 1.200.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.), NO_ACR
501800708156414, BENZATRON, BENZATRON, NOT FOUND, 1.200.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB. HOSP.), NO_ACR
501800712153416, BENZATRON, BENZATRON, NOT FOUND, 600.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.), NO_ACR
501800713151417, BENZATRON, BENZATRON, NOT FOUND, 600.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB. HOSP.), NO_ACR
501801001153415, BROMUC, BROMUC, NOT FOUND, CX. C/ 100 AMPOLAS 3 ML, NO_ACR
501801002151416, BROMUC, BROMUC, NOT FOUND, CX. C/ 5 AMPOLAS 3 ML, NO_ACR
506905102119111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP), NO_ACR
506905103115111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 20, NO_ACR
506905104111118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), NO_ACR
506905105118116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, NO_ACR
506905106114114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 60, NO_ACR
506905107110112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP), NO_ACR
506905108117110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 20, NO_ACR
506905109113119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), NO_ACR
506905101112113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, NO_ACR
506905110111116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 60, NO_ACR
506902301110111, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20, NO_ACR
506902305116112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
506902303113116, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, NO_ACR
506902302117118, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, NO_ACR
506902306112110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
506902304111117, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, NO_ACR
515600501167410, BAYCUTEN N, BAYCUTEN N, NOT FOUND, BISN C/ 40 G, NO_ACR
515602001110416, Beneroc, BENEROC, NOT FOUND, DRG CT BL AL PLAS INC X 100, NO_ACR
515602101115411, Beneroc Complex, BENEROC COMPLEX, NOT FOUND, DRG CT BL AL PLAS INC X 30, NO_ACR
515602201136419, Beneroc Junior, BENEROC JUNIOR, NOT FOUND, SOL OR CT FR VD AMB CGT X 20 ML , NO_ACR
515600701115414, BINOTAL, BINOTAL, NOT FOUND, 1000 MG STRIP X 12 COMP, NO_ACR
515600702111412, BINOTAL, BINOTAL, NOT FOUND, 1000 MG STRIP X 18 COMP, NO_ACR
515600703118410, BINOTAL, BINOTAL, NOT FOUND, 500 MG STRIP X 12 COMP, NO_ACR
515600704114419, BINOTAL, BINOTAL, NOT FOUND, 500 MG STRIP X 18 COMP, NO_ACR
538900401116411, BENERVA, BENERVA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
538900102161316, BEPANTOL, BEPANTOL, NOT FOUND, 50 MG/G POM DERM CT BG AL X 30 G, NO_ACR
538900101171318, BEPANTOL, BEPANTOL, NOT FOUND, 50 MG/ML SOL TOP CT FR PLAS AMB X 50 ML, NO_ACR
538900501137419, BEROCCAL CÁLCIO MAGNÉSIO E ZINCO, BEROCCAL CALCIO MAGNESIO E ZINCO, NOT FOUND, COM EFEV CT TB AL X 10, NO_ACR
538900502117411, BEROCCAL CÁLCIO MAGNÉSIO E ZINCO, BEROCCAL CALCIO MAGNESIO E ZINCO, NOT FOUND, COM LAQ CT BL AL PLAS INC X 30, NO_ACR
538900801114317, BONEFÓS, BONEFOS, NOT FOUND, 400 MG CAP GEL DURA CT FR PLAS POLIET OPC X 30, NO_ACR
538900802153316, BONEFÓS, BONEFOS, NOT FOUND, 60 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, NO_ACR
538900803151317, BONEFÓS, BONEFOS, NOT FOUND, 60 MG/ML SOL INJ CT AMP VD INC X 25 ML, NO_ACR
538900804113311, BONEFÓS, BONEFOS, NOT FOUND, 800 MG COM REV CT BL AL PLAS INC X 60, NO_ACR
503600901110410, BIO E, BIO E, NOT FOUND, 400 MG CAP GEL MOLE CT FR PLAS OPC X 20, NO_ACR
503600103133413, BIOGRIPE, BIOGRIPE, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, NO_ACR
503600101130417, BIOGRIPE, BIOGRIPE, NOT FOUND, 40 MG/ML + 4 MG/ML + 4 MG/ML XPE CT FR VD AMB X 100 ML, NO_ACR
503600104113416, BIOGRIPE, BIOGRIPE, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA CT DISPLAY X 25 BL X 4 CART, NO_ACR
503600102110411, BIOGRIPE, BIOGRIPE, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA CT FR PLAS OPC X 20, NO_ACR
503100201179319, BETA OPHTIOLE, BETA OPHTIOLE, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, NO_ACR
504401304153412, B-PLATIN, B PLATIN, NOT FOUND, 10 MG / ML SOL INJ CT FA VD AMB X 15 ML, NO_ACR
504401303157414, B-PLATIN, B PLATIN, NOT FOUND, 10 MG / ML SOL INJ CT FA VD AMB X 45 ML, NO_ACR
504401302150416, B-PLATIN, B PLATIN, NOT FOUND, 10 MG / ML SOL INJ CT FA VD AMB X 5 ML, NO_ACR
504400601154415, BLAUBIMAX, BLAUBIMAX, NOT FOUND, CX COM 1 FR AMP SOL INJ - 50 ML + EQUIPO - ALBUMINA HUMANA 20%, NO_ACR
504400702155417, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. FA VD INC + AMP DIL X 1ML - INTERFERON ALFA 2A 18.000.000 UI PO L, NO_ACR
504400701159419, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. FA VD INC X 1ML SOL. INJ. - INTERFERON ALFA 2A 3.000.000 UI/ML, NO_ACR
504400704158413, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. FA VD INC X 1ML SOL. INJ. - INTERFERON ALFA 2A 4.500.000 UI/ML, NO_ACR
504400706150411, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. FA VD INC X 1ML SOL. INJ. - INTERFERON ALFA 2A 9.000.000 UI/ML, NO_ACR
504400703151415, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. SER-PREENC X 0.5ML SOL. INJ. - INTERFERON ALFA 2A 18.000.000 UI PO L, NO_ACR
504400705154411, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. SER-PREENC X 0.5ML SOL. INJ. - INTERFERON ALFA 2A 6.000.000 UI/ML, NO_ACR
504400707157418, BLAUFERON A, BLAUFERON A, NOT FOUND, CT. SER-PREENC X 0.5ML SOL. INJ. - INTERFERON ALFA 2A 9.000.000 UI/ML, NO_ACR
504400801153412, BLAUFERON ALFA – 2A, BLAUFERON ALFA 2A, NOT FOUND,  3 M.U.I. INTERFERON ALFA 2A 3 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504400802151413, BLAUFERON ALFA – 2A, BLAUFERON ALFA 2A, NOT FOUND, 4.5 M.U.I. INTERFERON ALFA 2A - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504400803156419, BLAUFERON ALFA – 2A, BLAUFERON ALFA 2A, NOT FOUND, 9 M.U.I. INTERFERON ALFA 2A 9 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504400901158416, BLAUFERON ALFA – 2B, BLAUFERON ALFA 2B, NOT FOUND, 10 M.U.I. INTERFERON ALFA 2B - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504400902154414, BLAUFERON ALFA – 2B, BLAUFERON ALFA 2B, NOT FOUND, 3 M.U.I. INTERFERON ALFA 2B 3 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504400903150412, BLAUFERON ALFA – 2B, BLAUFERON ALFA 2B, NOT FOUND, 5 M.U.I. INTERFERON ALFA 2B 5 - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE, NO_ACR
504401003153413, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 1.000.000 UI PO LI - CX FR AMP VD INC 1ML + DIL, NO_ACR
504401004151414, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 10.000.000 UI - CX FR AMP VD INC 1ML SOL INJ, NO_ACR
