501802601154410, DAZOLSTON, DAZOLSTON, NOT FOUND, 5 MG/ ML INJ (INF IV) FR PL X 100 ML, NO_ACR
501802602150419, DAZOLSTON, DAZOLSTON, NOT FOUND, 5 MG/ ML INJ (INF IV) FR VD X 100 ML, NO_ACR
501807901156118, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML (EMB HOSP), NO_ACR
501807902152116, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 25 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP), NO_ACR
501802701159414, DISOTRON, DISOTRON, NOT FOUND, 5000 UI CX C/ 25 FA X 5 ML, NO_ACR
501802801153418, DNAREN, DNAREN, NOT FOUND, 25 MG/ML INJ CX C/ 50 AMP X 3 ML, NO_ACR
501802901158411, DOBUTARISTON, DOBUTARISTON, NOT FOUND, 12. 5 MG/ ML INJ CX C/ 20 AMP X 20 ML, NO_ACR
501807101151413, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML., NO_ACR
501807102156419, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML., NO_ACR
501807103152417, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML. (EMB HOSP), NO_ACR
501807107158411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX C/ 10 FA VD INC, NO_ACR
501807108154418, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX C/ 100 FA VD INC, NO_ACR
501807111155411, DOCLAXIN, DOCLAXIN, NOT FOUND, 1000 MG + 200 MG PO LIOF CX C/ 20 FA VD INC, NO_ACR
501807112151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC, NO_ACR
501807104159415, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML., NO_ACR
501807109150416, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 100 FA VD INC, NO_ACR
501807110159413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC, NO_ACR
501807105155413, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML., NO_ACR
501807106151411, DOCLAXIN, DOCLAXIN, NOT FOUND, 500 MG + 100 MG PO LIOF CX 50 FA VD INC + 50 AMP DIL X 10 ML. (EMB HOSP)., NO_ACR
501803001150412, DOPABANE, DOPABANE, NOT FOUND, 5 MG/ ML INJ CX C/ 10 AMP X 10 ML, NO_ACR
501803101155416, DORPINON, DORPINON, NOT FOUND, 1000 MG INJ CX C/100 AMP X 2 ML, NO_ACR
501803301154413, DRENALIN, DRENALIN, NOT FOUND, 1 MG/ML SOL INJ CX 100 AMP X 1 ML, NO_ACR
506905302177417, DESCODRIN, DESCODRIN, NOT FOUND, 9.0 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, NO_ACR
506905301170419, DESCODRIN, DESCODRIN, NOT FOUND, 9.0 MG/ML SOL NAS CT FR PLAS OPC SPR X 50 ML, NO_ACR
502401501114419, DEXADOR, DEXADOR, NOT FOUND, CX COM 20 COMP REV, NO_ACR
502401502153418, DEXADOR, DEXADOR, NOT FOUND, INJ CX COM 3 AMP (2MLA + 1MLB), NO_ACR
503600501112416, DICLOFLOGIL, DICLOFLOGIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, NO_ACR
506500801119114, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COMP REV CT 2 BL AL PLAS INC X 10, NO_ACR
505107501158218, DEFINITY, DEFINITY, NOT FOUND, CARTUCHO COM 4 FRASCOS DE 1.5 ML, NO_ACR
505101601169311, DERMODEX CREME, DERMODEX CREME, NOT FOUND, CARTUCHO COM TUBO X 60 G, NO_ACR
505101701155310, DESPACILINA, DESPACILINA, NOT FOUND, CAIXA COM 100 FA + DILUENTE, NO_ACR
536000404112115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT 1 BL AL PLAS INC X 6, NO_ACR
536000402111111, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT 1 BL AL PLAS INC X 7, NO_ACR
536000403116117, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT 2 BL AL PLAS INC X 6, NO_ACR
507420301169418, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 28 G, NO_ACR
507420302165416, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G LOC TOP CT FR VD AMB X 30 G, NO_ACR
507420303171411, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G PO TOP CT FR PLAS OPC X 30 G, NO_ACR
