537900201151313, CERETEC, CERETEC, NOT FOUND, 0.5 MG PO LIOF INJ IV CX 5 FA VD INC X 10ML, NO_ACR
501801102154417, CEFARISTON, CEFARISTON, NOT FOUND, 1000 MG CX C/ 50 FA + DIL X 5 ML, NO_ACR
501801104157413, CEFARISTON, CEFARISTON, NOT FOUND, 1000 MG PO INJ CX 100 FA, NO_ACR
501801105153411, CEFARISTON, CEFARISTON, NOT FOUND, 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML, NO_ACR
501801203112418, CEFAXON, CEFAXON, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 50, NO_ACR
501801202116411, CEFAXON, CEFAXON, NOT FOUND, 500 MG CAP GEL DURA CX 25 BL AL PLAS INC X 4, NO_ACR
501801201111414, CEFAXON, CEFAXON, NOT FOUND, 500 MG CX C/ 8 CAP, NO_ACR
501801301157416, CEFTAZIDON, CEFTAZIDON, NOT FOUND, 1000 MG CX C/ 20 FA + DIL X 10 ML, NO_ACR
501801303151415, CEFTAZIDON, CEFTAZIDON, NOT FOUND, 1000 MG PO INJ CX 100 FA VD INC (EMB HOSP), NO_ACR
501801304156410, CEFTAZIDON, CEFTAZIDON, NOT FOUND, 1000 MG PO INJ CX 20 FA VD INC, NO_ACR
501801302153414, CEFTAZIDON, CEFTAZIDON, NOT FOUND, 1000 MG PO INJ CX 20 FA VD INC + AMP DIL PLAS X 10 ML, NO_ACR
501801401151411, CEFTON, CEFTON, NOT FOUND, 1000 MG CX C/ 20 FA + DIL X 10 ML, NO_ACR
501801402158418, CEFTON, CEFTON, NOT FOUND, 1000 MG PO INJ CX 100 FA AMP VD INC (EMB HOSP), NO_ACR
501801403154416, CEFTON, CEFTON, NOT FOUND, 1000 MG PO INJ CX 20 FA AMP VD INC (EMB HOSP), NO_ACR
501801802156412, CILINON, CILINON, NOT FOUND, 1000 MG CX C/ 100 FA, NO_ACR
501801803152410, CILINON, CILINON, NOT FOUND, 1000 MG CX C/ 100 FA + DIL, NO_ACR
501801809150411, CILINON, CILINON, NOT FOUND, 1000 MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5 ML, NO_ACR
501801806151415, CILINON, CILINON, NOT FOUND, 500 MG CX C/ 100 FA, NO_ACR
501801807158413, CILINON, CILINON, NOT FOUND, 500 MG CX C/ 100 FA + DIL, NO_ACR
501801810159417, CILINON, CILINON, NOT FOUND, 500 MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5 ML, NO_ACR
501801901154418, CINTON, CINTON, NOT FOUND, 300 MG CX C/ 50 AMP X 2 ML, NO_ACR
501802001157419, CLAFORDIL, CLAFORDIL, NOT FOUND, 1000 MG CX C/ 20 FA + DIL X 5 ML, NO_ACR
501802002153417, CLAFORDIL, CLAFORDIL, NOT FOUND, 1000 MG PO INJ CX 20 FA VD INC + AMP DIL PLAS X 5 ML, NO_ACR
501802101151412, CLINDARIX, CLINDARIX, NOT FOUND, 600 MG CX C/ 20 AMP X 4 ML, NO_ACR
501802102158410, CLINDARIX, CLINDARIX, NOT FOUND, 900 MG CX C/ 20 AMP X 6 ML, NO_ACR
501802201156416, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, 10% INJ CX C/ 100 AMP X 10 ML, NO_ACR
501802202152414, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, 15 % INJ CX C/ 100 AMP X 10 ML, NO_ACR
501802203159412, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, 19.1% INJ CX C/ 100 AMP X 10 ML, NO_ACR
501802204155410, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, 20% INJ CX C/ 100 AMP X 10 ML, NO_ACR
501802401155413, CORTISTON, CORTISTON, NOT FOUND, 100 MG CX C/ 50 FA + DIL X 2 ML, NO_ACR
501802403158411, CORTISTON, CORTISTON, NOT FOUND, 100 MG PO LIOF INJ CX 100 FA VD INC, NO_ACR
501802404154418, CORTISTON, CORTISTON, NOT FOUND, 100 MG PO LIOF INJ CX 50 FA VD INC, NO_ACR
501802402151411, CORTISTON, CORTISTON, NOT FOUND, 500 MG CX C/ 50 FA + DIL X 4 ML, NO_ACR
501802405150416, CORTISTON, CORTISTON, NOT FOUND, 500 MG PO LIOF INJ CX 100 FA VD INC, NO_ACR
501802406157414, CORTISTON, CORTISTON, NOT FOUND, 500 MG PO LIOF INJ CX 50 FA VD INC, NO_ACR
506903001110112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 30, NO_ACR
506903002117110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30, NO_ACR
506903003113119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, NO_ACR
506900602113413, CARBOLIM, CARBOLIM, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
506900601117415, CARBOLIM, CARBOLIM, NOT FOUND, 300 MG COM CT BL AL/PLAS TRANS X 50 , NO_ACR
506903401119117, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
506903402115115, CARBONATO DE LÍTIO, CARBONATO LITIO, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 50, NO_ACR
