506903901111115, NIMESULIDA, NIMESULIDA, NIMESULIDA, 100 MG COM CT BL AL PLAS BCO OPC X 12, NO_ACR
502101101153310, NAVELBINE, NAVELBINE, NOT FOUND, 10 MG/ML SOL INJ CX FA VD INC X 1 ML, NO_ACR
502101102151311, NAVELBINE, NAVELBINE, NOT FOUND, 10 MG/ML SOL INJ CX FA VD INC X 5 ML, NO_ACR
502403901111413, NASTERID - A, NASTERID A, NOT FOUND, 1 MG CX COM 30 COMP REV, NO_ACR
502404001163113, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, BISN 40 G + 7 APLICADORES, NO_ACR
515603101119316, NAPROSYN, NAPROSYN, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 15, NO_ACR
515603102115314, NAPROSYN, NAPROSYN, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 20, NO_ACR
515602701112217, NEXAVAR, NEXAVAR, NOT FOUND, 200 MG COM REV CT BL AL/AL X 60, NO_ACR
515601501111413, NIMOTOP, NIMOTOP, NOT FOUND, 30 MG BL C/ 30 CPR, NO_ACR
515601502159411, NIMOTOP, NIMOTOP, NOT FOUND, INFUSAO 5 FR C/ 50ML + 5 EQUIP, NO_ACR
503600301113419, NAXOTEC, NAXOTEC, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 24, NO_ACR
503600302111411, NAXOTEC, NAXOTEC, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 24, NO_ACR
504412901166110, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM VAG CT BG AL X 80 G +14 APLIC, NO_ACR
504403105166413, NOVASUTIN, NOVASUTIN, NOT FOUND, CLORIDRATO DE TETRACICLINA E ANFOTERICINA B - CREME VAGINAL 25 MG/G + 12.5 MG/G. CART. C/ 1 BISNAGA DE ALUMINIO DE 45 G + 1 APLICADOR, NO_ACR
504403102167419, NOVASUTIN, NOVASUTIN, NOT FOUND, CREME VAGINAL 25 MG/G + 12.5 MG/G. CART. C/ 1 APLI, NO_ACR
504403101160410, NOVASUTIN, NOVASUTIN, NOT FOUND, CREME VAGINAL 25 MG/G + 12.5 MG/G. CART. C/ 1 BIS, NO_ACR
504403103163417, NOVASUTIN, NOVASUTIN, NOT FOUND, CREME VAGINAL 25 MG/G + 12.5 MG/G. CART. C/ 1 BISN, NO_ACR
504403104161418, NOVASUTIN, NOVASUTIN, NOT FOUND, CREME VAGINAL 25 MG/G + 12.5 MG/G.CART. C/ 1 BISNA, NO_ACR
505103903138324, NALDECON DIA, NALDECON DIA, NOT FOUND, CARTUCHO FR. X 60 ML LIQUIDO, NO_ACR
505104301158317, NOVAMIN, NOVAMIN, NOT FOUND, 100MG INJ. CARTUCHO COM 1 AMP X 2 ML, NO_ACR
505104302154315, NOVAMIN, NOVAMIN, NOT FOUND, 250MG INJ. CARTUCHO COM 1 AMP X 2 ML, NO_ACR
505104303150313, NOVAMIN, NOVAMIN, NOT FOUND, 500MG INJ. CARTUCHO COM 1 AMP X 2 ML, NO_ACR
505604901111410, NORFLURIN, NORFLURIN, NOT FOUND, 400 MG COM REV CT 50 BL AL PLAS INC X 14 (EMB HOSP), NO_ACR
505604903114417, NORFLURIN, NORFLURIN, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 6, NO_ACR
507500803152416, NANTRON, NANTRON, NOT FOUND, 4 MG/ML SOL INJ CT 25 AMP VD INC X 2 ML, NO_ACR
507500801151412, NANTRON, NANTRON, NOT FOUND, 4 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML, NO_ACR
507500804159414, NANTRON, NANTRON, NOT FOUND, 8 MG/ML SOL INJ CT 25 AMP VD INC X 4 ML, NO_ACR
507500802156418, NANTRON, NANTRON, NOT FOUND, 8 MG/ML SOL INJ CT 5 AMP VD INC X 4 ML, NO_ACR
509902801169411, NEOMICINA + BACITRACINA, NEOMICINA BACITRACINA, NOT FOUND, 5 MG/ 250 UI POM DERM CX 50 BG AL X 10 G, NO_ACR
509902901112411, NIFEDIPINA, NIFEDIPINA, NOT FOUND, 20 MG COM CX 50 BL AL PLAS INC X 10 (EMB. HOSP.), NO_ACR
510605201111316, NARAMIG, NARAMIG, NOT FOUND, 4CPDS, NO_ACR
510605301157318, NIMBIUM, NIMBIUM, NOT FOUND, 10MG X 5 AMPOLAS DE 5ML, NO_ACR
510605302153316, NIMBIUM, NIMBIUM, NOT FOUND, 150MG X 1 FRASCO-AMPOLA DE 30ML, NO_ACR
510605303151317, NIMBIUM, NIMBIUM, NOT FOUND, 20MG X 5 AMPOLAS DE 10ML, NO_ACR
510605401178414, NIQUITIN, NIQUITIN, NOT FOUND, 14MG 7 ADES, NO_ACR
510605405114313, NIQUITIN, NIQUITIN, NOT FOUND, 2 MG PAST BL AL/AL X 36, NO_ACR
510605406110311, NIQUITIN, NIQUITIN, NOT FOUND, 2 MG PAST BL AL/AL X 4, NO_ACR
510605402174412, NIQUITIN, NIQUITIN, NOT FOUND, 21MG 7 ADES, NO_ACR
510605407117311, NIQUITIN, NIQUITIN, NOT FOUND, 4 MG PAST BL AL/AL X 36, NO_ACR
510605408113318, NIQUITIN, NIQUITIN, NOT FOUND, 4 MG PAST BL AL/AL X 4, NO_ACR
510605404177419, NIQUITIN, NIQUITIN, NOT FOUND, 7MG 7 ADES, NO_ACR
512700301173417, NASOMIL, NASOMIL, NOT FOUND, FR COM 20ML, NO_ACR
513901301111418, NEOPRESS, NEOPRESS, NOT FOUND, CX COM 1 BL X 16 COMP, NO_ACR
513901302116413, NEOPRESS, NEOPRESS, NOT FOUND, CX COM 2 BL X 14 COMP, NO_ACR
514601102179418, NARINIL, NARINIL, NOT FOUND, INFANTIL SOLUCAO NASAL 10ML, NO_ACR
514601101172411, NARINIL, NARINIL, NOT FOUND, SOLUCAO NASAL 10ML (ADULTO), NO_ACR
514601201134412, NISTACINA, NISTACINA, NOT FOUND, SUSP. ORAL GOTAS 50ML, NO_ACR
514601302119419, NIXLIDE, NIXLIDE, NOT FOUND, BLISTER 12CP, NO_ACR
514601304138410, NIXLIDE, NIXLIDE, NOT FOUND, GOTAS 15ML, NO_ACR
514601401117414, NOVAREN, NOVAREN, NOT FOUND,  50MG 10CP, NO_ACR
514601402113412, NOVAREN, NOVAREN, NOT FOUND, 100MG 10CP, NO_ACR
514800401176415, NASO-JOSP, NASO JOSP, NOT FOUND, (1.0+0.5) MG/ML SOL.NAS. CT FR VD AMB X 20 ML + CG, NO_ACR
516705403112411, NEOCOPAN, NEOCOPAN, NOT FOUND, 10 MG + 250 MG DRG CT 2 BL AL PLAS INC X 10, NO_ACR
516705404135413, NEOCOPAN, NEOCOPAN, NOT FOUND, GTS (FR C/20ML), NO_ACR
516705406154415, NEOCOPAN, NEOCOPAN, NOT FOUND, INJ (CX C/50 AMP C/5ML), NO_ACR
516708101133117, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, NO_ACR
516705602166110, NISTATINA, NISTATINA, NISTATINA, 25.000 U.I./ G CREM VAG CT BG AL X 60 G + 14 APLIC , NO_ACR
