1021600940037; GINO FIBRASE; GINO FIBRASE; NOT FOUND; 1U(LOOMIS)/G + 666U/G + 10 MG/G POM VAG CT BG AL X 30G + 6 APLIC GINO; PFZ
1021600660174; GEODON; GEODON; NOT FOUND; 20 MG/ML PO P/ SOL IM CT 1 FA + 1 DIL; PFZ
1021600660050; GEODON; GEODON; NOT FOUND; 40 MG CAP GEL DURA CT BL AL/AL X 14; PFZ
1021600660077; GEODON; GEODON; NOT FOUND; 40 MG CAP GEL DURA CT BL AL/AL X 30; PFZ
1021600660085; GEODON; GEODON; NOT FOUND; 40MG X 50 CAPS; PFZ
1021600660158; GEODON; GEODON; NOT FOUND; 80 MG CAP GEL DURA CT BL AL/AL X 30; PFZ
1021600660131; GEODON; GEODON; NOT FOUND; 80 MG CAP GEL DURA CT BL AL/AL X 14; PFZ
1021600880026; GELUSIL; GELUSIL; NOT FOUND; MORANGO 240 ML; PFZ
1021600880018; GELUSIL; GELUSIL; NOT FOUND; TRADICIONAL 240 ML; PFZ
1021601660021; GINO PLETIL; GINO PLETIL; NOT FOUND; 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC; PFZ
1238900870031; GINO PLETIL; GINO PLETIL; NOT FOUND; 45 G C/ 7 APLICADORES; PFZ
1238900160070; GYNO ZALAIN; GYNO ZALAIN; NOT FOUND; 40 G C/ 7 APLICADORES; PFZ
1238900160070; GYNO ZALAIN; GYNO ZALAIN; NOT FOUND; 40 G C/ 7 APLICADORES; PFZ
