1021602030070; CAVERJECT; CAVERJECT; NOT FOUND; 10 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS; PFZ
1021602030089; CAVERJECT; CAVERJECT; NOT FOUND; 20 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS; PFZ
1238900110096; CAVERJECT; CAVERJECT; NOT FOUND; 10 MCG - 1 FRASCO-AMPOLA COM 1ML; PFZ
1239800110101; CAVERJECT; CAVERJECT; NOT FOUND; 20 MCG - 1 FRASCO-AMPOLA COM 1ML; PFZ
1021600620016; CITALOR; CITALOR; NOT FOUND; 10MG X 10 COMP REV; PFZ
1021600620024; CITALOR; CITALOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; PFZ
1021600620032; CITALOR; CITALOR; NOT FOUND; 20MG X 10 COMP REV; PFZ
1021600620040; CITALOR; CITALOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; PFZ
1021600620091; CITALOR; CITALOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; PFZ
1021600620083; CITALOR; CITALOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; PFZ
1021600620059; CITALOR; CITALOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; PFZ
1021600620148; CITALOR; CITALOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 20; PFZ
1021600620156; CITALOR; CITALOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; PFZ
1021600620164; CITALOR; CITALOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 90  ; PFZ
1021600620172; CITALOR; CITALOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 20; PFZ
1021600620180; CITALOR; CITALOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; PFZ
1021600620199; CITALOR; CITALOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 90 ; PFZ
1021600620202; CITALOR; CITALOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 20; PFZ
1021600620210; CITALOR; CITALOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 60 ; PFZ
1021600620229; CITALOR; CITALOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 90; PFZ
1021600620237; CITALOR; CITALOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 60 ; PFZ
1021600620245; CITALOR; CITALOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 90; PFZ
1021601060251; CADUET; CADUET; NOT FOUND; 5 MG + 10 MG COM REV CT BL AL/AL X 10; PFZ
1021601060294; CADUET; CADUET; NOT FOUND; 10 MG + 10 MG COM REV CT BL AL/AL X 10; PFZ
1021601060154; CADUET; CADUET; NOT FOUND; 10 MG + 10 MG COM REV CT BL AL/AL X 30 ; PFZ
1021601060308; CADUET; CADUET; NOT FOUND; 10 MG + 20 MG COM REV CT BL AL/AL X 10; PFZ
1021601060189; CADUET; CADUET; NOT FOUND; 10 MG + 20 MG COM REV CT BL AL/AL X 30 ; PFZ
1021601060030; CADUET; CADUET; NOT FOUND; 5 MG + 10 MG COM REV CT BL AL/AL X 30 ; PFZ
1021601060065; CADUET; CADUET; NOT FOUND; 5 MG + 20 MG COM REV CT BL AL/AL X 30 ; PFZ
1021601060261; CADUET; CADUET; NOT FOUND; 5 MG + 20 MG COM REV CT BL AL/AL X 10; PFZ
1238900790011; CHERACAP; CHERACAP; NOT FOUND; CARTUCHO C/ 12 CAPSULAS; PFZ
1238900790011; CHERACAP; CHERACAP; NOT FOUND; CARTUCHO C/ 12 CAPSULAS; PFZ
1021600960046; CALADRYL; CALADRYL; NOT FOUND; LOC FR X 120ML; PFZ
1021600960021; CALADRYL; CALADRYL; NOT FOUND; CREME BISN X 28G; PFZ
1021602320011; CELECOXIBE; CELECOXIBE; CELECOXIBE; 100 MG CAP DURA CT BL AL PLAS TRANS X 10; PFZ
1021602320028; CELECOXIBE; CELECOXIBE; CELECOXIBE; 100 MG CAP DURA CT BL AL PLAS TRANS X 20; PFZ
1021602320036; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 10; PFZ
