1021601680012; FARLUTAL; FARLUTAL; NOT FOUND; 10.0 MG COM CT  BL AL PLAS INC X 10; PFZ
1021601680020; FARLUTAL; FARLUTAL; NOT FOUND; 10.0 MG COM CT  BL AL PLAS INC X 14; PFZ
1021601680055; FARLUTAL; FARLUTAL; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 14; PFZ
1021601680063; FARLUTAL; FARLUTAL; NOT FOUND; 5.0 MG COM CT  BL AL PLAS INC X 14; PFZ
1021601680071; FARLUTAL; FARLUTAL; NOT FOUND; 5.0 MG COM CT BL AL PLAS INC X 20; PFZ
1238900850057; FARLUTAL; FARLUTAL; NOT FOUND; 10 MG - 10 COMP.; PFZ
1238900850073; FARLUTAL; FARLUTAL; NOT FOUND; 10 MG - 14 COMP.; PFZ
1238900850014; FARLUTAL; FARLUTAL; NOT FOUND; 2.5 MG - 14 COMP.; PFZ
1238900850049; FARLUTAL; FARLUTAL; NOT FOUND; 5 MG - 14 COMP.; PFZ
1238900850030; FARLUTAL; FARLUTAL; NOT FOUND; 5 MG - 20 COMP.; PFZ
1238900150111; FRONTAL; FRONTAL; NOT FOUND; 2.0 MG C/ CARTUCHO 1 FR VD AMBAR X 30; PFZ
1021601310010; FRONTAL; FRONTAL; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20; PFZ
1021601310029; FRONTAL; FRONTAL; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 30; PFZ
1021601310045; FRONTAL; FRONTAL; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; PFZ
1021601310053; FRONTAL; FRONTAL; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 30; PFZ
1021601310071; FRONTAL; FRONTAL; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; PFZ
1021601310088; FRONTAL; FRONTAL; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30  ; PFZ
1021601310101; FRONTAL; FRONTAL; NOT FOUND; 2 MG COM CT FR VD AMB X 30 + 1 PORTA COMPRIMIDO; PFZ
1021601310118; FRONTAL XR; FRONTAL XR; NOT FOUND; 0.5 MG COM  LIB LENTA CT BL AL/AL X 30; PFZ
1021601310126; FRONTAL XR; FRONTAL XR; NOT FOUND; 1 MG COM  LIB LENTA CT BL AL/AL X 30; PFZ
1021601310134; FRONTAL XR; FRONTAL XR; NOT FOUND; 2 MG COM  LIB LENTA CT BL AL/AL X 30; PFZ
1021601310169; FRONTAL SL; FRONTAL SL; NOT FOUND; 0.5 MG COM SUB-LING CT BL AL PLAS INC X 30; PFZ
1021601310150; FRONTAL SL; FRONTAL SL; NOT FOUND; 0.5 MG COM SUB-LING CT BL AL PLAS INC X 15; PFZ
1238900150012; FRONTAL; FRONTAL; NOT FOUND; 0.25 MG - CARTUCHO C/ 20 COMP EM BL; PFZ
1238900150128; FRONTAL; FRONTAL; NOT FOUND; 0.25 MG - CARTUCHO C/ 30 COMP EM BL; PFZ
1238900150047; FRONTAL; FRONTAL; NOT FOUND; 0.50 MG - CARTUCHO C/ 20 COMP EM BL; PFZ
1238900150144; FRONTAL; FRONTAL; NOT FOUND; 0.50 MG - CARTUCHO C/ 30 COMP EM BL; PFZ
1238900150071; FRONTAL; FRONTAL; NOT FOUND; 1.00 MG - CARTUCHO C/ 20 COMP EM BL; PFZ
1238900150160; FRONTAL; FRONTAL; NOT FOUND; 1.00 MG - CARTUCHO C/ 30 COMP EM BL; PFZ
1021600940010; FIBRASE; FIBRASE; NOT FOUND; 1U(LOOMIS)/G + 666U/G + 10MG/G POM DERM CT BG AL X 10G; PFZ
1021600940029; FIBRASE; FIBRASE; NOT FOUND; 1U(LOOMIS)/G + 666U/G + 10MG/G POM DERM CT BG AL X 30G; PFZ
1021601510052; FARMARUBICINA CS; FARMARUBICINA CS; NOT FOUND; 2 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML; PFZ
1021601510095; FARMARUBICINA CS; FARMARUBICINA CS; NOT FOUND; 2 MG/ML SOL INJ CT FA PLAS TRANS X 10 ML; PFZ
1021601510060; FARMARUBICINA CS; FARMARUBICINA CS; NOT FOUND; 2 MG/ML SOL INJ CT FA PLAS TRANS X 25 ML; PFZ
1021601510011; FARMARUBICINA RD; FARMARUBICINA RD; NOT FOUND; 10 MG PO LIOF INJ CT FA VD INC; PFZ
1021601510028; FARMARUBICINA RD; FARMARUBICINA RD; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC; PFZ
1021601510109; FARMARUBICINA CS; FARMARUBICINA CS; NOT FOUND; 2 MG/ML SOL INJ CT FA PLAS TRANS X 100 ML; PFZ
1238900280056; FARMORUBICINA; FARMORUBICINA; NOT FOUND; 10 MG SOL. INJ. FRASCO-AMPOLA PLASTICO CS; PFZ
1238900280013; FARMORUBICINA; FARMORUBICINA; NOT FOUND; 10 MG 1 FRASCO-AMPOLA. RD; PFZ
1238900280021; FARMORUBICINA; FARMORUBICINA; NOT FOUND; 50 MG 1 FRASCO-AMPOLA. RD; PFZ
1021601300082; FRADEMICINA; FRADEMICINA; NOT FOUND; 300 MG/ML SOL INJ CT AMP VD INC X 1 ML; PFZ
1021601300104; FRADEMICINA; FRADEMICINA; NOT FOUND; 300 MG/ML SOL INJ CT AMP VD INC X 2 ML; PFZ
1238900820085; FRADEMICINA; FRADEMICINA; NOT FOUND; 300 MG PEDIATRICO INJ. 1AMP. X 1 ML; PFZ
1238900820107; FRADEMICINA; FRADEMICINA; NOT FOUND; 600 MG SOL. INJ. 1 AMP. X 2 ML; PFZ
1021601300015; FRADEMICINA; FRADEMICINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PFZ
1238900820018; FRADEMICINA; FRADEMICINA; NOT FOUND; 500 MG 12 CAPSULAS; PFZ
1021602340037; FRAGMIN; FRAGMIN; NOT FOUND; 12500 UI/ML SOL INJ CT 2 BL PAP PLAS INC X 5 SER VD INC X 0.2 ML + DISPOSITIVO PROTECAO; PFZ
1021602340045; FRAGMIN; FRAGMIN; NOT FOUND; 25000 UI/ML SOL INJ CT 2 BL PAP PLAS INC X 5 SER VD INC  X 0.2 ML + DISPOSITIVO PROTECAO; PFZ
1021602340014; FRAGMIN; FRAGMIN; NOT FOUND; 12500 UI/ML SOL INJ CT 2 BL PAP PLAS INC X 5 SER VD INC X 0.2 ML  ; PFZ
1021602340022; FRAGMIN; FRAGMIN; NOT FOUND; 25000 UI/ML SOL INJ CT 2 BL PAP PLAS INC X 5 SER VD INC  X 0.2 ML ; PFZ
1021600130310; FELDENE; FELDENE; NOT FOUND; 20 MG/ML SOL INJ CX 2 AMP VD AMB X 2 ML; PFZ
1021600130426; FELDENE GEL; FELDENE GEL; NOT FOUND; 5 MG/G GEL CT 1 BG AL X 30 G; PFZ
1021600130442; FELDENE; FELDENE; NOT FOUND; 20 MG SUP CT  STR X 10; PFZ
1021600130175; FELDENE; FELDENE; NOT FOUND; 20MG X 8 SUPOSIT; PFZ
1021600130345; FELDENE; FELDENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; PFZ
1021600130027; FELDENE; FELDENE; NOT FOUND; 20 MG SUP CT STR X 6; PFZ
1021600130353; FELDENE; FELDENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; PFZ
1021600130256; FELDENE; FELDENE; NOT FOUND; 20 MG COM  SOL CT BL AL PLAS INC X 10; PFZ
1021600130485; FELDENE SL; FELDENE SL; NOT FOUND; 20 MG 5 BL X 2 COMP; PFZ
1021600130396; FELDENE SL; FELDENE SL; NOT FOUND; 20 MG COM DISSOL INST CT STR X BL AL PLAS OPC X 10; PFZ
1238900120024; FRAGMIN; FRAGMIN; NOT FOUND; 2.500 UI - CAIXA COM 10 SERINGAS DE 0.2 ML; PFZ
1238900120032; FRAGMIN; FRAGMIN; NOT FOUND; 5.000 UI - CAIXA COM 10 SERINGAS DE 0.2 ML; PFZ
