1021601960031; PROVERA; PROVERA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 14; PFZ
1021601960041; PROVERA; PROVERA; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 14; PFZ
1021601960082; PROVERA; PROVERA; NOT FOUND; 5.0 MG COM CT BL AL PLAS INC X 14; PFZ
1238900020054; PROVERA; PROVERA; NOT FOUND; 10 MG - CARTUCHO COM 14 COMPRIMIDOS; PFZ
1238900020036; PROVERA; PROVERA; NOT FOUND; 2.5 MG - CARTUCHO COM 14 COMPRIMIDOS; PFZ
1239800020052; PROVERA; PROVERA; NOT FOUND; 5.0 MG - CARTUCHO COM 14 COMPRIMIDOS; PFZ
1021600820023; POLYSPORIN; POLYSPORIN; NOT FOUND; POM 14.2 G; PFZ
1021601970029; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP); PFZ
1021601970037; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP); PFZ
1021601970010; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP); PFZ
1238900470025; PLATAMINE; PLATAMINE; NOT FOUND; 150 MG - CAIXA COM 1 FRASCO-AMPOLA; PFZ
1238900470033; PLATAMINE; PLATAMINE; NOT FOUND; 450 MG - CAIXA COM 1 FRASCO-AMPOLA; PFZ
1238900470017; PLATAMINE; PLATAMINE; NOT FOUND; 50 MG - CAIXA COM 1 FRASCO-AMPOLA; PFZ
1239800680038; PLATAMINE; PLATAMINE; NOT FOUND; 10 MG SOL. INJ. 5 FRASCOS-AMP PLASTICOS; PFZ
1238900680046; PLATAMINE; PLATAMINE; NOT FOUND; 100 MG SOL. INJ. FRASCO-AMPOLA PLASTICO; PFZ
1238900680021; PLATAMINE; PLATAMINE; NOT FOUND; 50 MG SOL. INJ. FRASCO-AMPOLA PLASTICO; PFZ
1021601810021; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 10 ML (REST HOSP); PFZ
1021601810013; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP); PFZ
1021601810031; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP); PFZ
1021601810048; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP); PFZ
1021600780021; PYRIDIUM; PYRIDIUM; NOT FOUND; 100 MG X 25 DRG; PFZ
1021600780031; PYRIDIUM; PYRIDIUM; NOT FOUND; 200 MG X 18 DRG; PFZ
1021602280069; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; PFZ
1021602280077; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; PFZ
1021602280085; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; PFZ
1021602280093; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 28; PFZ
1021602280107; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 56; PFZ
1021602280018; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; PFZ
1021602280026; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; PFZ
1021602280034; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; PFZ
1021602280042; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 28; PFZ
1021602280050; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 56; PFZ
1021601480013; PROPIL; PROPIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; PFZ
1238901080018; PROPIL; PROPIL; NOT FOUND; 100 MG - 30 COMPRIMIDOS; PFZ
