1238901180049; OLBETAM; OLBETAM; NOT FOUND; 250 MG - 20 CAPS.; PFZ
1021602220015; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 7; PFZ
1021602220023; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 15; PFZ
1021602220031; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 30; PFZ
1021602220082; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 15; PFZ
1021602220090; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 30; PFZ
1021602220074; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 7; PFZ
1021602220058; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 15; PFZ
1021602220066; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 30; PFZ
1021602220041; OLMETEC ANLO; OLMETEC ANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 7; PFZ
1021601690018; OLMETEC HCT; OLMETEC HCT; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL AL/AL X 10 ; PFZ
1021601690069; OLMETEC HCT; OLMETEC HCT; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL AL/AL X 30; PFZ
1021601690034; OLMETEC HCT; OLMETEC HCT; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL AL/AL X 30; PFZ
1021601690093; OLMETEC HCT; OLMETEC HCT; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL/AL X 30; PFZ
1021601050061; OLMETEC; OLMETEC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; PFZ
1021601050043; OLMETEC; OLMETEC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; PFZ
1021601050019; OLMETEC; OLMETEC; NOT FOUND; 20 MG COM REV CT 1 BL AL/AL X 10 ; PFZ
1021601050027; OLMETEC; OLMETEC; NOT FOUND; 40 MG COMP REV CT 1 BL AL/AL X 10 ; PFZ
