1021601790012; SYNAREL; SYNAREL; NOT FOUND; 2 MG/ML SOL NAS CT FR VD + PLAS OPC X 8 ML +VALV; PFZ
1238900980015; SYNAREL; SYNAREL; NOT FOUND; SPRAY NASAL 8 ML.; PFZ
1021601320016; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT BL AL PLAS INC X 4; PFZ
1021601320024; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT BL AL PLAS INC X 6; PFZ
1021601320032; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT BL AL PLAS INC X 12; PFZ
1021601320040; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601320059; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT DISPLEY CT BL AL PLAS INC X 100; PFZ
1021601320067; SINUTAB; SINUTAB; NOT FOUND; 2MG + 324MG + 32.4MG CAP GEL DURA CT DISPLAY 50 ENV BL AL PLAS INC X 4; PFZ
8563623322333; SUPOSITÓRIOS GLICERINA; SUPOSITORIOS GLICERINA; NOT FOUND; ADU 24 UNIDADES; PFZ
9565652226655; SUPOSITÓRIOS GLICERINA; SUPOSITORIOS GLICERINA; NOT FOUND; INF 24 UNIDADES; PFZ
1021602050012; SUTENT; SUTENT; NOT FOUND; 12.5 MG CAP GEL DURA CT FR PLAS OPC X 28  ; PFZ
1021602050020; SUTENT; SUTENT; NOT FOUND; 12.5 MG CAP GEL DURA CT FR PLAS OPC X 30; PFZ
1021602050055; SUTENT; SUTENT; NOT FOUND; 25 MG CAP GEL DURA CT FR PLAS OPC X 28 ; PFZ
1021602050063; SUTENT; SUTENT; NOT FOUND; 25 MG CAP GEL DURA CT FR PLAS OPC X 30; PFZ
1021602050098; SUTENT; SUTENT; NOT FOUND; 50 MG CAP GEL DURA CT FR PLAS OPC X 28 ; PFZ
1021602050101; SUTENT; SUTENT; NOT FOUND; 50 MG CAP GEL DURA CT FR PLAS OPC X 30; PFZ
1021601520015; SERMION; SERMION; NOT FOUND; 10 MG DRG CT BL AL PLAS INC X 20; PFZ
1021601520031; SERMION; SERMION; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 20; PFZ
1238900770010; SERMION; SERMION; NOT FOUND; 10 MG - CAIXA COM 20 DRAGEAS; PFZ
1238900770029; SERMION; SERMION; NOT FOUND; 30 MG - CAIXA COM 20 COMPRIMIDOS; PFZ
1021601780130; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 1 FA VD INC; PFZ
1021601780149; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 10 FA VD INC; PFZ
1021601780157; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 20 FA VD INC; PFZ
1021601780165; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 30 FA VD INC; PFZ
1021601780173; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 1 FA VD INC; PFZ
1021601780181; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 10 FA VD INC; PFZ
1021601780191; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 20 FA VD INC; PFZ
1021601780203; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 30 FA VD INC; PFZ
1021601780211; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 1 FA VD INC; PFZ
1021601780221; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 10 FA VD INC; PFZ
1021601780238; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 20 FA VD INC; PFZ
1021601780246; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 30 FA VD INC; PFZ
1021601780041; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL; PFZ
1021601780084; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL ; PFZ
1021601780017; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 1 FA VD INC + 1 FA DIL; PFZ
1021601780051; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 1 FA VD INC + 1 FA DIL; PFZ
1021601780092; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 1 FA VD INC + 1 FA DIL; PFZ
1021601780122; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL; PFZ
