1021600450226; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG PO LIOF SOL INJ INFUS IV CT FA VD INC; PFZ
1021600450196; ZITROMAX; ZITROMAX; NOT FOUND; 600 MG PO SUS OR CT FR PLAS OPC + DIL + MED P/ ADM; PFZ
1021600450201; ZITROMAX; ZITROMAX; NOT FOUND; 900 MG PO SUS OR CT FR PLAS OPC + DIL + MED P/ ADM; PFZ
1021600450102; ZITROMAX; ZITROMAX; NOT FOUND; 250 MG CX 4 CAPS; PFZ
1021600450013; ZITROMAX; ZITROMAX; NOT FOUND; 250 MG CX 6 CAPS; PFZ
1021600450137; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2; PFZ
1021600450145; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; PFZ
1021600450234; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG PO LIOF P/ SOL P/ INFUS CT 10 FA VD INC; PFZ
1021600450242; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; PFZ
1021600450250; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 9; PFZ
1021600450269; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 30 (EMB HOSP); PFZ
1021600450277; ZITROMAX; ZITROMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); PFZ
1021601740023; ZAVEDOS; ZAVEDOS; NOT FOUND; 10 MG PO LIOF INJ CT FA VD INC (REST HOSP); PFZ
1021601740015; ZAVEDOS; ZAVEDOS; NOT FOUND; 5 MG PO LIOF INJ CT FA VD INC (REST HOSP); PFZ
1238900380026; ZAVEDOS; ZAVEDOS; NOT FOUND; 10 MG FRASCO-AMPOLA INJETAVEL; PFZ
1238900380018; ZAVEDOS; ZAVEDOS; NOT FOUND; 5 MG FRASCO-AMPOLA INJETAVEL; PFZ
1238900380042; ZAVEDOS; ZAVEDOS; NOT FOUND; 10 MG CX. C/ 1 CAPS.; PFZ
1238900380050; ZAVEDOS; ZAVEDOS; NOT FOUND; 25 MG CX. C/ 1 CAPS.; PFZ
1239800380034; ZAVEDOS; ZAVEDOS; NOT FOUND; 5 MG CX. C/ 1 CAPS.; PFZ
1238900380042; ZAVEDOS; ZAVEDOS; NOT FOUND; 10 MG CX. C/ 1 CAPS.; PFZ
1238900380050; ZAVEDOS; ZAVEDOS; NOT FOUND; 25 MG CX. C/ 1 CAPS.; PFZ
1239800380034; ZAVEDOS; ZAVEDOS; NOT FOUND; 5 MG CX. C/ 1 CAPS.; PFZ
1021600040095; ZOLOFT; ZOLOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; PFZ
1021600040011; ZOLOFT; ZOLOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; PFZ
1021600040028; ZOLOFT; ZOLOFT; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 10; PFZ
1021600040087; ZOLOFT; ZOLOFT; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 14; PFZ
1021600440158; ZOLTEC; ZOLTEC; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CT 06 BOLS PLAS X 100 ML; PFZ
1021600440093; ZOLTEC; ZOLTEC; NOT FOUND; 100 MG CAP GEL DURA CT 1 BL AL PLAS INC X 8; PFZ
1021600440018; ZOLTEC; ZOLTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; PFZ
1021600440131; ZOLTEC; ZOLTEC; NOT FOUND; 150 MG CAP GEL DURA CT 01 BL AL PLAS INC X 02; PFZ
1021600440026; ZOLTEC; ZOLTEC; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 8; PFZ
1021600630038; ZYPLO; ZYPLO; NOT FOUND; GTS 60 MG/ML FR 15 ML; PFZ
1021600630011; ZYPLO; ZYPLO; NOT FOUND; XPE 6MG/ML FR 120 ML; PFZ
1021601770232; ZYVOX; ZYVOX; NOT FOUND; 2MG/ML SOL INJ INFUS IV CT 10 ENV PLAS AL X BOLS PLAS FREEFLEX X 300 ML ; PFZ
1021601770054; ZYVOX; ZYVOX; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CT 10 ENV PLAS AL X BOLS PLAS X 300 ML; PFZ
1238900780156; ZYVOX; ZYVOX; NOT FOUND; 600MG SOL INJ CX COM 10 BOLSAS PLASTICAS X 300ML; PFZ
1021601770178; ZYVOX; ZYVOX; NOT FOUND; 600 MG COM REV CT BL AL PLAS OPC X 10; PFZ
1238900780131; ZYVOX; ZYVOX; NOT FOUND; 600MG CX COM 1 BL DE 10 COMPRIMIDOS; PFZ
1354800040051; ZALAIN; ZALAIN; NOT FOUND; PO - 20 GRAMAS; PFZ
1354800040061; ZALAIN; ZALAIN; NOT FOUND; SHAMPOO A 2% - 80 ML.; PFZ
1354800040043; ZALAIN; ZALAIN; NOT FOUND; SOLUCAO SPRAY - 20 ML.; PFZ
1354800040051; ZALAIN; ZALAIN; NOT FOUND; PO - 20 GRAMAS; PFZ
1354800040061; ZALAIN; ZALAIN; NOT FOUND; SHAMPOO A 2% - 80 ML.; PFZ
1354800040043; ZALAIN; ZALAIN; NOT FOUND; SOLUCAO SPRAY - 20 ML.; PFZ
1354800040035; ZALAIN; ZALAIN; NOT FOUND; CREME - 20 GRAMAS; PFZ
1354800040035; ZALAIN; ZALAIN; NOT FOUND; CREME - 20 GRAMAS; PFZ
