1021602190019; ECALTA; ECALTA; NOT FOUND; 100 MG PO LIOF SOL INJ CT FA VD INC + SOL DIL FA VD INC X 30 ML (EMB HOSP) ; PFZ
1021602190035; ECALTA; ECALTA; NOT FOUND; 100 MG PO LIOF SOL INJ CT 15 FA VD INC + SOL DIL 15 FA VD INC X 30 ML (EMB HOSP) ; PFZ
1021602190027; ECALTA; ECALTA; NOT FOUND; 100 MG PO LIOF SOL INJ CT 2 FA VD INC + SOL DIL 2 FA VD INC X 30 ML (EMB HOSP) ; PFZ
1021602190043; ECALTA; ECALTA; NOT FOUND; 100 MG PO LIOF SOL INJ CT 30 FA VD INC + SOL DIL 30 FA VD INC X 30 ML (EMB HOSP); PFZ
1021602190051; ECALTA; ECALTA; NOT FOUND; 100 MG PO LIOF SOL INJ CT 01 FA VD INC; PFZ
1021602150017; EUNADES CS; EUNADES CS; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA PLAS TRANS X 5 ML (REST HOSP); PFZ
1238900490016; EUNADES; EUNADES; NOT FOUND; 100 MG SOLUCAO INJETAVEL - CAIXA C/ 10 FRASCOS-AMP; PFZ
1021600850046; EPELIN; EPELIN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 120 ML + COPO MEDIDA; PFZ
1021600850054; EPELIN; EPELIN; NOT FOUND; 30 CAPS; PFZ
1021602060018; EXUBERA; EXUBERA; NOT FOUND; 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6; PFZ
1021602060034; EXUBERA; EXUBERA; NOT FOUND; 1 MG PO INAL OR CT 3 ENV X 5 BL AL/AL X 6; PFZ
1021602060077; EXUBERA; EXUBERA; NOT FOUND; 3 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6; PFZ
1021602060093; EXUBERA; EXUBERA; NOT FOUND; 3 MG PO INAL OR CT 3 ENV X 5 BL AL/AL X 6; PFZ
1021602060158; EXUBERA; EXUBERA; NOT FOUND; 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + 3 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + ATIVADOR; PFZ
1021602060141; EXUBERA; EXUBERA; NOT FOUND; 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + 3 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + ATIVADOR; PFZ
1021602060131; EXUBERA; EXUBERA; NOT FOUND; 3 MG PO INAL OR CT 3 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + ATIVADOR; PFZ
