1021600180059; NORVASC; NORVASC; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 20; PFZ
1021600180113; NORVASC; NORVASC; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; PFZ
1021600180024; NORVASC; NORVASC; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 20; PFZ
1021600180105; NORVASC; NORVASC; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 30; PFZ
1021600180016; NORVASC; NORVASC; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 10; PFZ
1021600180121; NORVASC; NORVASC; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 60; PFZ
1021600180131; NORVASC; NORVASC; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; PFZ
1238901130015; NAXOGIN; NAXOGIN; NOT FOUND; XAROPE GRANULADO - 30 G; PFZ
1021601860010; NAXOGIN COMPOSTO; NAXOGIN COMPOSTO; NOT FOUND; 250MG + 250MG + 100000UI COM VAG CT STR AL/AL X 10 + APLIC; PFZ
1238901130023; NAXOGIN; NAXOGIN; NOT FOUND; 500 MG - 8 COMP.; PFZ
1238901010044; NAXOGIN; NAXOGIN; NOT FOUND; VAGINAL - 10 COMP. COMPOSTO; PFZ
1021600890048; NEURONTIN; NEURONTIN; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021600890056; NEURONTIN; NEURONTIN; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021600890080; NEURONTIN; NEURONTIN; NOT FOUND; 400 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021600890153; NEURONTIN; NEURONTIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 27; PFZ
1238900700136; NICORETTE; NICORETTE; NOT FOUND; GUM CLASSIC 30'S; PFZ
1238900700179; NICORETTE; NICORETTE; NOT FOUND; GUM MINT 30'S; PFZ
1238900700136; NICORETTE; NICORETTE; NOT FOUND; GUM CLASSIC 30'S; PFZ
1238900700179; NICORETTE; NICORETTE; NOT FOUND; GUM MINT 30'S; PFZ
1238900700306; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA CT 2 BL AL PLAS INC X 15; PFZ
1238900700322; NICORETTE; NICORETTE; NOT FOUND; 4 MG GOMA CT 2 BL AL PLAS INC X 15 MINT; PFZ
1021601900012; NAXOGIN; NAXOGIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 8; PFZ
1238901130015; NAXOGIN; NAXOGIN; NOT FOUND; XAROPE GRANULADO - 30 G; PFZ
1238901050011; NITRADISC; NITRADISC; NOT FOUND; 7X10 MG; PFZ
1238901050038; NITRADISC; NITRADISC; NOT FOUND; 7X5 MG; PFZ
1238901050011; NITRADISC; NITRADISC; NOT FOUND; 7X10 MG; PFZ
1238901050038; NITRADISC; NITRADISC; NOT FOUND; 7X5 MG; PFZ
