1021602330015; BENEFIX; BENEFIX; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + 1 SER PREENCH DIL X 5 ML + 1 ADAPT + 1 CONJ INFUS + 2 LENCOS + 1 CURATIVO + 1 GAZE; PFZ
1021602330023; BENEFIX; BENEFIX; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 SER PREENCH DIL X 5 ML + 1 ADAPT + 1 CONJ INFUS + 2 LENCOS + 1 CURATIVO + 1 GAZE; PFZ
1021602330031; BENEFIX; BENEFIX; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 SER PREENCH DIL X 5 ML + 1 ADAPT + 1 CONJ INFUS + 2 LENCOS + 1 CURATIVO + 1 GAZE; PFZ
1021602330041; BENEFIX; BENEFIX; NOT FOUND; 2000 UI PO LIOF INJ CT 1 FA VD INC + 1 SER PREENCH DIL X 5 ML + 1 ADAPT + 1 CONJ INFUS + 2 LENCOS + 1 CURATIVO + 1 GAZE; PFZ
isento; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 100 G; PFZ
1021602160012; BENALET TSC; BENALET TSC; NOT FOUND; 3 MG/ML XP FR PLAS AMB X 120 ML; PFZ
1021600920011; BENADRYL; BENADRYL; NOT FOUND; XPE 120 ML; PFZ
1021600950024; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR FRAMBOESA; PFZ
1021600950067; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MEL LIMAO; PFZ
1021600950040; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MENTA; PFZ
1021600950121; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV CART ENV AL X 50 SABOR MEL LIMAO; PFZ
1021600950105; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV CART ENV AL X 50 SABOR MENTA; PFZ
1021600950083; BENALET; BENALET; NOT FOUND; FRAMBOESA ENV CART 25 X 2; PFZ
1021600950199; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MEL LIMAO); PFZ
1021600950131; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV AL X 100 (SABOR FRAMBOESA); PFZ
1021600950164; BENALET; BENALET; NOT FOUND; 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MENTA); PFZ
1238900990053; BEXTRA IM / IV; BEXTRA IM IV; NOT FOUND; 40MG 1 FRASCO AMPOLA; PFZ
1238900990071; BEXTRA IM / IV; BEXTRA IM IV; NOT FOUND; 40MG 10 FRASCOS-AMPOLAS; PFZ
1021601370054; BEXTRA IM/IV; BEXTRA IM IV; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML; PFZ
1021601370070; BEXTRA IM/IV; BEXTRA IM IV; NOT FOUND; 40 MG PO LIOF INJ CT 10 FA VD INC; PFZ
1021601590188; BEXTRA; BEXTRA; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 5; PFZ
1021601590021; BEXTRA; BEXTRA; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 10; PFZ
1021601590137; BEXTRA; BEXTRA; NOT FOUND; 20MG COM REV CT BL AL PLAS INC X 10; PFZ
1021601590110; BEXTRA; BEXTRA; NOT FOUND; 20MG COM REV CT BL AL PLAS INC X 5; PFZ
