1238900330010; KESSAR; KESSAR; NOT FOUND; 10 MG COMP CX. C/ 30; PFZ
1238900330029; KESSAR; KESSAR; NOT FOUND; 20 MG COMP CX. C/ 30; PFZ
1238900330010; KESSAR; KESSAR; NOT FOUND; 10 MG COMP CX. C/ 30; PFZ
1238900330029; KESSAR; KESSAR; NOT FOUND; 20 MG COMP CX. C/ 30; PFZ
1021600790019; KETALAR; KETALAR; NOT FOUND; 10ML X 5 AMP; PFZ
1238900890032; KABIKINASE; KABIKINASE; NOT FOUND; 750.000 UI - 1 X 1FR AMP - EMB.HOSP.; PFZ
1238900880037; KITNOS; KITNOS; NOT FOUND; SUSPENSAO - 100 ML.; PFZ
1238900880037; KITNOS; KITNOS; NOT FOUND; SUSPENSAO - 100 ML.; PFZ
1021601420010; KITNOS; KITNOS; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 6; PFZ
1238900880010; KITNOS; KITNOS; NOT FOUND; 500 MG - 6 COMP.; PFZ
1238900890032; KABIKINASE; KABIKINASE; NOT FOUND; 750.000 UI - 1 X 1FR AMP - EMB.HOSP.; PFZ
