1021600830029; ANUSOL; ANUSOL; NOT FOUND; POM 15 G; PFZ
1021600830010; ANUSOL; ANUSOL; NOT FOUND; SUPOSIT CX COM 6 UNIDADES; PFZ
1021602200189; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 30; PFZ
1021602200014; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 10; PFZ
1021602200022; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 20; PFZ
1021602200030; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; PFZ
1021602200049; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 60; PFZ
1021602200057; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 90; PFZ
1021602200065; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 10; PFZ
1021602200073; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 20; PFZ
1021602200081; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; PFZ
1021602200091; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 60; PFZ
1021602200103; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 90; PFZ
1021602200111; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 10 ; PFZ
1021602200121; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 20; PFZ
1021602200138; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; PFZ
