1021601540016; TROFODERMIN; TROFODERMIN; NOT FOUND; 5 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G; PFZ
1021601540032; TROFODERMIN; TROFODERMIN; NOT FOUND; 5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC; PFZ
1238900920012; TROFODERMIN; TROFODERMIN; NOT FOUND; CREME - 30 G.; PFZ
1238900920047; TROFODERMIN; TROFODERMIN; NOT FOUND; CREME GINECOLOGICO - 45 G 8 APLICADORES; PFZ
1238900180019; TROBICIN; TROBICIN; NOT FOUND; 2 GRAMAS AMPOLA LIOFILIZADA + DILUENTE; PFZ
1021600210063; TERRA-CORTRIL; TERRA CORTRIL; NOT FOUND; 30 MG/G + 10 MG/G POM TOP CT BG AL X 15 G; PFZ
1021600250390; TERRAMICINA; TERRAMICINA; NOT FOUND; 100 MG SOL INJ CX 5 AMP VD INC X 2 ML; PFZ
1021600250243; TERRAMICINA; TERRAMICINA; NOT FOUND; XPE 120 ML; PFZ
1021600240019; TERRAMICINA; TERRAMICINA; NOT FOUND; 5 MG/G + 10000 U/G POM OFT CT BG AL X 3.5 G; PFZ
1021600240061; TERRAMICINA COM POLIMIXINA B; TERRAMICINA POLIMIXINA B; NOT FOUND; 30 MG/G + 10000 U/G POM TOP CT BG AL X 15 G; PFZ
1021600250302; TERRAMICINA; TERRAMICINA; NOT FOUND; 500 MG CAP GEL DURA CX STR AL/AL X 100; PFZ
1021600250373; TERRAMICINA; TERRAMICINA; NOT FOUND; 500 MG CAP GEL DURA CT STR AL/AL X 8; PFZ
1238900950051; TRAMAL; TRAMAL; NOT FOUND; 100 MG INJ. - 6 AMP; PFZ
1238900950035; TRAMAL; TRAMAL; NOT FOUND; 50 MG INJ. - 6 AMP.; PFZ
1021601600116; TRAMAL; TRAMAL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; PFZ
1021601600124; TRAMAL; TRAMAL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; PFZ
1238900950051; TRAMAL; TRAMAL; NOT FOUND; 100 MG INJ. - 6 AMP.; PFZ
1238900950035; TRAMAL; TRAMAL; NOT FOUND; 50 MG INJ. - 6 AMP.; PFZ
1021601600078; TRAMAL; TRAMAL; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; PFZ
1238900950078; TRAMAL; TRAMAL; NOT FOUND; 100 MG GOTAS - 10 ML.; PFZ
1238900950088; TRAMAL; TRAMAL; NOT FOUND; 100 MG - 5 SUPOSIT; PFZ
1238900950088; TRAMAL; TRAMAL; NOT FOUND; 100 MG - 5 SUPOSIT; PFZ
1021601600019; TRAMAL; TRAMAL; NOT FOUND; 50 MG CAP CT BL AL PLAS OPC X 10 ; PFZ
1021601600086; TRAMAL; TRAMAL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 10; PFZ
1238900950019; TRAMAL; TRAMAL; NOT FOUND; 50 MG - 10 CAPS.; PFZ
1238900950094; TRAMAL; TRAMAL; NOT FOUND; 100 MG - 10 COMP RETARD; PFZ
1021601390022; TRICEROL; TRICEROL; NOT FOUND; 500 MG CAP GEL MICROG CT 2 B AL PLAS INC X 10; PFZ
1021601390014; TRICEROL; TRICEROL; NOT FOUND; 500 MG CAP GEL MICROG CT 3 BL AL PLAS INC X 10; PFZ
1354800250021; TRICEROL; TRICEROL; NOT FOUND; 20 CAPSULAS; PFZ
1354800250013; TRICEROL; TRICEROL; NOT FOUND; 30 CAPSULAS; PFZ
1238900180019; TROBICIN; TROBICIN; NOT FOUND; 2 GRAMAS AMPOLA LIOFILIZADA + DILUENTE; PFZ
