1021602130032; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 1 ML; PFZ
1021602130040; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 150 MG/ML SUS INJ CT BL PLAS PLAS INC X SER VD INC PREENC X 1 ML + AG DESC; PFZ
1021602130016; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 50 MG/ML SUS INJ CT FA VD INC X 1 ML; PFZ
1238900100031; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 150 MG CAIXA COM 1 FRASCO-AMPOLA DE 1 ML; PFZ
1238900100041; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 150MG/ML SUSP SERINGA PRE-ENCHIDA 1ML; PFZ
1238900100015; DEPO PROVERA; DEPO PROVERA; NOT FOUND; 50 MG CAIXA COM 1 FRASCO 1 ML; PFZ
1021601260013; DEPO-MEDROL; DEPO MEDROL; NOT FOUND; 40 MG/ML SUS INJ CT FA VD INC X 2 ML ; PFZ
1238900050051; DEPO-MEDROL; DEPO MEDROL; NOT FOUND; 40 MG - CAIXA C/ 1 FRASCO 2 ML; PFZ
1021601400018; DOSTINEX; DOSTINEX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 2; PFZ
1021601400026; DOSTINEX; DOSTINEX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 8; PFZ
1238900610013; DOSTINEX; DOSTINEX; NOT FOUND; 0.5 MG COM CARTUCHO C/ FR X 2; PFZ
1238900610021; DOSTINEX; DOSTINEX; NOT FOUND; 0.5 MG COM CARTUCHO C/ FR X 8; PFZ
1238900090141; DALACIN; DALACIN; NOT FOUND; C 300 MG - INJ / CAIXA C/ 1 AMPOLA 2 ML; PFZ
1238900090291; DALACIN; DALACIN; NOT FOUND; T CAIXA C/ FRASCO 30 ML; PFZ
1238900090346; DALACIN; DALACIN; NOT FOUND; T 10MG/ML SOL. TOP. CAIXA COM 30 PADS; PFZ
1238900090311; DALACIN; DALACIN; NOT FOUND; V BISNAGA COM 20 G E 3 APLICADORES CREME; PFZ
1238900099009; DALACIN; DALACIN; NOT FOUND; C 300 MG - CAPSULAS / CAIXA C/ 16 CAPSULAS; PFZ
1021602140011; DAUNOBLASTINA; DAUNOBLASTINA; NOT FOUND; 20 MG PO LIOF INJ CT FA VD INC + DIL AMP VD INC X 10ML (USO HOSPITALAR); PFZ
1238900450016; DAUNOBLASTINA; DAUNOBLASTINA; NOT FOUND; 20 MG 1 FRASCO-AMPOLA; PFZ
1021602080035; DILTIZEM; DILTIZEM; NOT FOUND; 120 MG COM CT BL AL PLAS INC X 20; PFZ
1238901020015; DILTIZEM; DILTIZEM; NOT FOUND; 60MG 60 COMPRIMIDOS; PFZ
1021602080051; DILTIZEM; DILTIZEM; NOT FOUND; 240 MG COM CT BL AL PLAS INC X 10; PFZ
1021602080019; DILTIZEM; DILTIZEM; NOT FOUND; 90 MG COM CT BL AL PLAS INC X 20; PFZ
1238901020074; DILTIZEM; DILTIZEM; NOT FOUND; 120MG 20 COMPRIMIDOS; PFZ
1238901020015; DILTIZEM; DILTIZEM; NOT FOUND; 60MG 60 COMPRIMIDOS; PFZ
1238901020082; DILTIZEM; DILTIZEM; NOT FOUND; AP 240MG 10 COMPRIMIDOS; PFZ
1238901020066; DILTIZEM; DILTIZEM; NOT FOUND; AP 90MG 20 COMPRIMIDOS; PFZ
1238901020139; DILTIZEM; DILTIZEM; NOT FOUND; 60 MG COM CT 4 BL AL PLAS INC X 15; PFZ
1021600100063; DIABINESE; DIABINESE; NOT FOUND; 250 MG COM CT FR VD AMB X 100; PFZ
1021600100071; DIABINESE; DIABINESE; NOT FOUND; 250 MG COM CT FR VD AMB X 30; PFZ
1021600100128; DIABINESE; DIABINESE; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 100 ; PFZ
1021600100111; DIABINESE; DIABINESE; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 30; PFZ
1238901060041; DICLOFEN; DICLOFEN; NOT FOUND; GOTAS - 15 ML.; PFZ
1238901060041; DICLOFEN; DICLOFEN; NOT FOUND; GOTAS - 15 ML.; PFZ
1238901060051; DICLOFEN; DICLOFEN; NOT FOUND; GEL - 60 GRAMAS; PFZ
1238901060051; DICLOFEN; DICLOFEN; NOT FOUND; GEL - 60 GRAMAS; PFZ
1238901060017; DICLOFEN; DICLOFEN; NOT FOUND; 50 MG - 20 DRAGEAS; PFZ
1238901060017; DICLOFEN; DICLOFEN; NOT FOUND; 50 MG - 20 DRAGEAS; PFZ
1021601730028; DALACIN C; DALACIN C; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 2 ML; PFZ
1021601730052; DALACIN; DALACIN; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 4 ML; PFZ
1021601530053; DALACIN T; DALACIN T; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML + APLIC; PFZ
1021601530010; DALACIN T; DALACIN T; NOT FOUND; 10 MG/ML SOL TOP CT FR VD INC X 30 ML + APLIC; PFZ
1021601730133; DALACIN; DALACIN; NOT FOUND; 20 MG/G CREM VAG CT BG PLAS OPC X 20 G + 3 APLIC; PFZ
1021601730176; DALACIN C; DALACIN C; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; PFZ
1021601530045; DALACIN; DALACIN; NOT FOUND; 10 MG/ML SOL TOP CT 30 ENV X 1 PAD; PFZ
1021602040017; DRENOL; DRENOL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; PFZ
1238901030010; DRENOL; DRENOL; NOT FOUND; 30 COMPRIMIDOS; PFZ
