1021600800014; LIPITOR; LIPITOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10 ; PFZ
1021600800030; LIPITOR; LIPITOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; PFZ
1021600800065; LIPITOR; LIPITOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; PFZ
1021600800091; LIPITOR; LIPITOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; PFZ
1021600800121; LIPITOR; LIPITOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; PFZ
1021600800235; LIPITOR; LIPITOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 90; PFZ
1021600800251; LIPITOR; LIPITOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 90; PFZ
1021600800049; LIPITOR; LIPITOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10 ; PFZ
1021600800073; LIPITOR; LIPITOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10 ; PFZ
1238901110014; LOMOTIL; LOMOTIL; NOT FOUND; 10 COMPRIMIDOS; PFZ
1238901110014; LOMOTIL; LOMOTIL; NOT FOUND; 10 COMPRIMIDOS; PFZ
1021601840052; LEGIFOL CS; LEGIFOL CS; NOT FOUND; 10 MG/ML SOL INJ CX 10 AMP PLAS TRANS X 5 ML; PFZ
1021601840028; LEGIFOL CS; LEGIFOL CS; NOT FOUND; 10 MG/ML SOL INJ CT 5 FA PLAS TRANS X 5 ML; PFZ
1238900500048; LEGIFOL; LEGIFOL; NOT FOUND; 50 MG SOLUCAO INJ - CAIXA C/ 10 FR-AMP; PFZ
1238900500021; LEGIFOL; LEGIFOL; NOT FOUND; 50 MG SOLUCAO INJ - CAIXA C/ 5 FR-AMP; PFZ
1021600980020; LOPID; LOPID; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 24; PFZ
1021600980047; LOPID; LOPID; NOT FOUND; 900 MG COM REV CT BL AL PLAS INC X 12 ; PFZ
1021600980055; LOPID; LOPID; NOT FOUND; 900 MG COM REV CT BL AL PLAS INC X 10; PFZ
1021600980063; LOPID; LOPID; NOT FOUND; 900 MG COM REV CT BL AL PLAS INC X 20; PFZ
1238900400035; LUVOX; LUVOX; NOT FOUND; CAIXA COM 15 COMPRIMIDOS; PFZ
1239800400043; LUVOX; LUVOX; NOT FOUND; CAIXA COM 30 COMPRIMIDOS; PFZ
1021601710027; LONITEN; LONITEN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; PFZ
1238900070043; LONITEN; LONITEN; NOT FOUND; 10 MG. - CAIXA COM 1 FR DE 30 COMP.; PFZ
1238900070124; LONITEN; LONITEN; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; PFZ
1021601550011; LYRICA; LYRICA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550161; LYRICA; LYRICA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; PFZ
1021601550178; LYRICA; LYRICA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550186; LYRICA; LYRICA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550194; LYRICA; LYRICA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550208; LYRICA; LYRICA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550216; LYRICA; LYRICA; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550224; LYRICA; LYRICA; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550232; LYRICA; LYRICA; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550240; LYRICA; LYRICA; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550259; LYRICA; LYRICA; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550267; LYRICA; LYRICA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550275; LYRICA; LYRICA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550283; LYRICA; LYRICA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550291; LYRICA; LYRICA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550305; LYRICA; LYRICA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550313; LYRICA; LYRICA; NOT FOUND; 225 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550321; LYRICA; LYRICA; NOT FOUND; 225 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550331; LYRICA; LYRICA; NOT FOUND; 225 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550348; LYRICA; LYRICA; NOT FOUND; 225 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550356; LYRICA; LYRICA; NOT FOUND; 225 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550021; LYRICA; LYRICA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 14 ; PFZ
1021601550038; LYRICA; LYRICA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550046; LYRICA; LYRICA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550054; LYRICA; LYRICA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550364; LYRICA; LYRICA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550372; LYRICA; LYRICA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550380; LYRICA; LYRICA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550399; LYRICA; LYRICA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550402; LYRICA; LYRICA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550062; LYRICA; LYRICA; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550070; LYRICA; LYRICA; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550089; LYRICA; LYRICA; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550097; LYRICA; LYRICA; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550100; LYRICA; LYRICA; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601550119; LYRICA; LYRICA; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; PFZ
1021601550127; LYRICA; LYRICA; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 14; PFZ
1021601550135; LYRICA; LYRICA; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601550143; LYRICA; LYRICA; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 28; PFZ
1021601550151; LYRICA; LYRICA; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021600840024; LORAGA; LORAGA; NOT FOUND; LARANJA 369G 33 DOSES; PFZ
1021600840075; LORAGA; LORAGA; NOT FOUND; LARANJA DIET 283G 48 DOSES; PFZ
1021600840059; LORAGA; LORAGA; NOT FOUND; NATURAL 369G 52 DOSES; PFZ
